filename,dataset_type,distribution,revenue_band,rows,columns,bytes,sha256,statuses,geographies,unique_naics,sentinel_rows
Balance_sheet_2024_5M_20M.csv,balance,total_revenue,5m_20m,1019,82,499885,1c854d13c3eb892bbecffc02ded7deedaca129a032cb1d9ba2af8c8405882c4b,2,00,1019,242
Financial_ratios_2024_5M_20M.csv,ratios,total_revenue,5m_20m,1019,64,327296,44a40b5e035bc68dbf88582169a760fa9521a020a51fa66c8645231a5b685da2,2,00,1019,254
Profit_Margin_Total_expenses_percentage_2024_5M_20M.csv,expenses_pct,profit_margin,5m_20m,1019,137,608941,ed41c5ad0370da31c060384a58fbe3bf0ea41d90ac59cd1192093ee0040c2645,2,00,1019,242
Total_expenses_percentage_2024_5M_20M.csv,expenses_pct,total_revenue,5m_20m,1019,137,608051,1db12c53d371013201a5288d6902f55e86577e12ab9e9eae4c98409485e77e54,2,00,1019,242
Total_expenses_value_2024_5M_20M.csv,expenses_value,total_revenue,5m_20m,1019,137,752922,7b09b33f41c558788161fa036c4c3bfdc4f6bd2d1a9918b84294a90f0e32a214,2,00,1019,242
Total_revenue_2024_5M_20M.csv,revenue,total_revenue,5m_20m,1019,35,204056,41df89ecb6be0b9f57aa7f004b3bb89e4ddec9475c9b1a89f75428df95f71a30,2,00,1019,242
balance_sheet_2024_30k_5m.csv,balance,total_revenue,30k_5m,24352,82,11978650,02e83df4bc4872296fa7eeeef66b6338e2fb81933962940dc9b178147d0162a8,2,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1876,14355
financial_ratios_2024_30k_5m.csv,ratios,total_revenue,30k_5m,24352,64,9113061,fa5630936ee29d225e0fecb3092b2ca87ef348bdd3c912410b9c4d850026c8b7,2,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1876,14896
naics_descriptors_2024.csv,naics,na,na,22333,4,2128340,1a7303889c88ff1f34ded8a87ead6c4e27a2ad9b03ce202d612c7b87ea0348ae,,,2059,0
profit_margin_balance_sheet_2024_30k_5m.csv,balance,profit_margin,30k_5m,24352,82,12043738,473ca8c7cb2b27a8925238a96df0cc69855af454dd0ab9dafab2d1c5a5b025f7,2,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1876,14552
profit_margin_balance_sheet_2024_5m_20m.csv,balance,profit_margin,5m_20m,1019,82,499923,bb8b7af8f0b86956d6f494281788b597903669c0aad5b253a69fec916a00a413,2,00,1019,242
profit_margin_financial_ratios_2024_30k_5m.csv,ratios,profit_margin,30k_5m,24352,64,9166924,bc87c86c70e71a5afb572b3330cf963bdf30c5b90a0f686e899bb20dbd9820c5,2,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1876,14937
profit_margin_financial_ratios_2024_5m_20m.csv,ratios,profit_margin,5m_20m,1019,64,329722,a25449c0232efb7e4dfddda5f6b191b7dcdf5ceb0aed7b08d77820048f6a2a02,2,00,1019,254
profit_margin_financial_ratios_canada_incorporated_2024_30k_5m.csv,ratios_limited,profit_margin,30k_5m,45797,14,3519277,85bebe430718ba545c8c5a5c96d43c5ba8480435b4a02016f7e9d7e649b475ae,1|3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,24408
profit_margin_profit_non_profit_businesses_2024_30k_5m.csv,profitability,profit_margin,30k_5m,25461,41,5981100,0ec2c46f881318d35f5f39aad36a85ab9583d156d6948be2103e7490e6f0101c,3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,25459
profit_margin_total_expenses_percentage_2024_30k_5m.csv,expenses_pct,profit_margin,30k_5m,70149,137,46804787,3f1e1bae308d68b9884d12b2f1fb04da8b652ff94dac9c5f6864793155ee6ebd,1|2|3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,38880
profit_margin_total_expenses_value_2024_30k_5m.csv,expenses_value,profit_margin,30k_5m,70149,137,51670995,4d4d2cb993af7ae8b220e00fdff483ffe1811757eeb093b650e73c3d228075f2,1|2|3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,38880
profit_margin_total_expenses_value_2024_5m_20m.csv,expenses_value,profit_margin,5m_20m,1019,137,752955,729fbeace1b3a3e46e3e1407bc956a48eefabf62fdff990434d95010e13f9f25,2,00,1019,242
profit_margin_total_revenue_2024_30k_5m.csv,revenue,profit_margin,30k_5m,70149,35,10137046,aba71b4f65836f6e97b4fbd25ae465e83057024e8eca671a66c52f82daef740a,1|2|3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,38880
profit_margin_total_revenue_2024_5m_20m.csv,revenue,profit_margin,5m_20m,1019,35,192479,508dda7567a410e87210d3e40a9dc0e395b5665a5219ba8f0cc72adf7fcbbc32,2,00,1019,242
profit_non_profit_businesses_2024_30k_5m.csv,profitability,total_revenue,30k_5m,25461,41,5801251,d8e13202d2c675dfcd198b1e29a257256b1963de411b1997ea99fb309d7c6d53,3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,17679
total_expenses_percentage_2024_30k_5m.csv,expenses_pct,total_revenue,30k_5m,70149,137,46810986,9eb58faf58627bcd0166c4aa876fff929d41c9019bcf59c4e8cdb6f895aea3b8,1|2|3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,38152
total_expenses_value_2024_30k_5m.csv,expenses_value,total_revenue,30k_5m,70149,137,51395714,22a81916c016c7b7f8e32025e44297c86eeca7ea7f1bc67384c06be8b3126477,1|2|3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,38152
total_revenue_2024_30k_5m.csv,revenue,total_revenue,30k_5m,70149,35,10016843,3d9ec6608308f1be9e066fc55caffd899a1a75e6aee204237500adf53736677c,1|2|3,00|10|11|12|13|15|24|35|46|47|48|49|59|60|61|62|63,1878,38152
