filename,column_index,original_header,canonical_header,dataset_type,distribution,revenue_band
Balance_sheet_2024_5M_20M.csv,0,Incorporation Status / Status d'incorporation,incorporation_status_status_d_incorporation,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,1,NAICS code / Code SCIAN,naics_code_code_scian,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,2,Province / Canada,province_canada,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,3,Total assets / Actif total,total_assets_actif_total,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,4,Quality Indicator / Indicateurs de qualité,quality_indicator_indicateurs_de_qualit,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,5,Bottom Quartile Total assets / Quart inférieur Actif total,bottom_quartile_total_assets_quart_inf_rieur_actif_total,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,6,Lower Middle Total assets / 2e quart Actif total,lower_middle_total_assets_2e_quart_actif_total,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,7,Upper Middle Total assets / 3e quart Actif total,upper_middle_total_assets_3e_quart_actif_total,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,8,Top quartile Total assets / Quart supérieur Actif total,top_quartile_total_assets_quart_sup_rieur_actif_total,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,9,Total current assets / Actif total … court terme,total_current_assets_actif_total_court_terme,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,10,Quality Indicator / Indicateurs de qualité,quality_indicator_indicateurs_de_qualit_2,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,11,Bottom Quartile Total current assets / Quart inférieur Actif total … court terme,bottom_quartile_total_current_assets_quart_inf_rieur_actif_total_court_terme,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,12,Lower Middle Total current assets / 2e quart Actif total … court terme,lower_middle_total_current_assets_2e_quart_actif_total_court_terme,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,13,Upper Middle Total current assets / 3e quart Actif total … court terme,upper_middle_total_current_assets_3e_quart_actif_total_court_terme,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,14,Top quartile Total current assets / Quart supérieur Actif total … court terme,top_quartile_total_current_assets_quart_sup_rieur_actif_total_court_terme,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,15,Accounts receivable / Comptes clients,accounts_receivable_comptes_clients,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,16,Quality Indicator / Indicateurs de qualité,quality_indicator_indicateurs_de_qualit_3,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,17,Bottom Quartile Accounts receivable / Quart inférieur Comptes clients,bottom_quartile_accounts_receivable_quart_inf_rieur_comptes_clients,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,18,Lower Middle Accounts receivable / 2e quart Comptes clients,lower_middle_accounts_receivable_2e_quart_comptes_clients,balance,total_revenue,5m_20m
Balance_sheet_2024_5M_20M.csv,19,Upper Middle Accounts receivable / 3e quart Comptes clients,upper_middle_accounts_receivable_3e_quart_comptes_clients,balance,total_revenue,5m_20m
