naics_code,description_en,description_fr,year
11,"Agriculture, forestry, fishing and hunting","Agriculture, foresterie, pêche et chasse",2024
21,"Mining, quarrying, and oil and gas extraction","Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz",2024
22,Utilities,Services publics,2024
23,Construction,Construction,2024
41,Wholesale trade,Commerce de gros,2024
51,Information and cultural industries,Industrie de l'information et industrie culturelle,2024
52,Finance and insurance,Finance et assurances,2024
53,Real estate and rental and leasing,Services immobiliers et services de location et de location à bail,2024
54,"Professional, scientific and technical services","Services professionnels, scientifiques et techniques",2024
55,Management of companies and enterprises,Gestion de sociétés et d'entreprises,2024
56,"Administrative and support, waste management and remediation services","Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement",2024
61,Educational services,Services d'enseignement,2024
62,Health care and social assistance,Soins de santé et assistance sociale,2024
71,"Arts, entertainment and recreation","Arts, spectacles et loisirs",2024
72,Accommodation and food services,Services d'hébergement et de restauration,2024
81,Other services (except public administration),Autres services (sauf les administrations publiques),2024
91,Public administration,Administrations publiques,2024
111,Crop production,Cultures agricoles,2024
112,Animal production and aquaculture,Élevage et aquaculture,2024
113,Forestry and logging,Foresterie et exploitation forestière,2024
114,"Fishing, hunting and trapping","Pêche, chasse et piégeage",2024
115,Support activities for agriculture and forestry,Activités de soutien à l'agriculture et à la foresterie,2024
211,Oil and gas extraction,Extraction de pétrole et de gaz,2024
212,Mining and quarrying (except oil and gas),Extraction minière et exploitation en carrière (sauf l'extraction de pétrole et de gaz),2024
213,"Support activities for mining, and oil and gas extraction","Activités de soutien à l'extraction minière, pétrolière et gazière",2024
221,Utilities,Services publics,2024
236,Construction of buildings,Construction de bâtiments,2024
237,Heavy and civil engineering construction,Travaux de génie civil,2024
238,Specialty trade contractors,Entrepreneurs spécialisés,2024
311,Food manufacturing,Fabrication d'aliments,2024
312,Beverage and tobacco product manufacturing,Fabrication de boissons et de produits du tabac,2024
313,Textile mills,Usines de textiles,2024
314,Textile product mills,Usines de produits textiles,2024
315,Apparel manufacturing,Fabrication de vêtements,2024
316,Leather and allied product manufacturing,Fabrication de produits en cuir et de produits analogues,2024
321,Wood product manufacturing,Fabrication de produits en bois,2024
322,Paper manufacturing,Fabrication du papier,2024
323,Printing and related support activities,Impression et activités connexes de soutien,2024
324,Petroleum and coal product manufacturing,Fabrication de produits du pétrole et du charbon,2024
325,Chemical manufacturing,Fabrication de produits chimiques,2024
326,Plastics and rubber products manufacturing,Fabrication de produits en plastique et en caoutchouc,2024
327,Non-metallic mineral product manufacturing,Fabrication de produits minéraux non métalliques,2024
331,Primary metal manufacturing,Première transformation des métaux,2024
332,Fabricated metal product manufacturing,Fabrication de produits métalliques,2024
333,Machinery manufacturing,Fabrication de machines,2024
334,Computer and electronic product manufacturing,Fabrication de produits informatiques et électroniques,2024
335,"Electrical equipment, appliance and component manufacturing","Fabrication de matériel, d'appareils et de composants électriques",2024
336,Transportation equipment manufacturing,Fabrication de matériel de transport,2024
337,Furniture and related product manufacturing,Fabrication de meubles et de produits connexes,2024
