profile_id,business_type_id,naics_code,geography_code,incorporation_status_code,revenue_band,distribution,data_suppressed,partial_suppression
ISED_2024_food_truck_00_1_30k_5m_total_revenue,food_truck,722330,00,1,30k_5m,total_revenue,False,False
ISED_2024_food_truck_00_1_30k_5m_profit_margin,food_truck,722330,00,1,30k_5m,profit_margin,False,False
ISED_2024_food_truck_00_2_30k_5m_total_revenue,food_truck,722330,00,2,30k_5m,total_revenue,False,False
ISED_2024_food_truck_00_2_30k_5m_profit_margin,food_truck,722330,00,2,30k_5m,profit_margin,False,False
ISED_2024_food_truck_00_3_30k_5m_total_revenue,food_truck,722330,00,3,30k_5m,total_revenue,False,False
ISED_2024_food_truck_00_3_30k_5m_profit_margin,food_truck,722330,00,3,30k_5m,profit_margin,False,True
ISED_2024_food_truck_48_1_30k_5m_total_revenue,food_truck,722330,48,1,30k_5m,total_revenue,False,False
ISED_2024_food_truck_48_1_30k_5m_profit_margin,food_truck,722330,48,1,30k_5m,profit_margin,False,False
ISED_2024_food_truck_48_2_30k_5m_total_revenue,food_truck,722330,48,2,30k_5m,total_revenue,False,False
ISED_2024_food_truck_48_2_30k_5m_profit_margin,food_truck,722330,48,2,30k_5m,profit_margin,False,False
ISED_2024_food_truck_48_3_30k_5m_total_revenue,food_truck,722330,48,3,30k_5m,total_revenue,False,False
ISED_2024_food_truck_48_3_30k_5m_profit_margin,food_truck,722330,48,3,30k_5m,profit_margin,False,True
ISED_2024_full_service_restaurant_00_1_30k_5m_total_revenue,full_service_restaurant,722511,00,1,30k_5m,total_revenue,False,False
ISED_2024_full_service_restaurant_00_1_30k_5m_profit_margin,full_service_restaurant,722511,00,1,30k_5m,profit_margin,False,False
ISED_2024_full_service_restaurant_00_2_30k_5m_total_revenue,full_service_restaurant,722511,00,2,30k_5m,total_revenue,False,False
ISED_2024_full_service_restaurant_00_2_30k_5m_profit_margin,full_service_restaurant,722511,00,2,30k_5m,profit_margin,False,False
ISED_2024_full_service_restaurant_00_3_30k_5m_total_revenue,full_service_restaurant,722511,00,3,30k_5m,total_revenue,False,False
ISED_2024_full_service_restaurant_00_3_30k_5m_profit_margin,full_service_restaurant,722511,00,3,30k_5m,profit_margin,False,True
ISED_2024_full_service_restaurant_48_1_30k_5m_total_revenue,full_service_restaurant,722511,48,1,30k_5m,total_revenue,False,False
ISED_2024_full_service_restaurant_48_1_30k_5m_profit_margin,full_service_restaurant,722511,48,1,30k_5m,profit_margin,False,False
ISED_2024_full_service_restaurant_48_2_30k_5m_total_revenue,full_service_restaurant,722511,48,2,30k_5m,total_revenue,False,False
ISED_2024_full_service_restaurant_48_2_30k_5m_profit_margin,full_service_restaurant,722511,48,2,30k_5m,profit_margin,False,False
ISED_2024_full_service_restaurant_48_3_30k_5m_total_revenue,full_service_restaurant,722511,48,3,30k_5m,total_revenue,False,False
ISED_2024_full_service_restaurant_48_3_30k_5m_profit_margin,full_service_restaurant,722511,48,3,30k_5m,profit_margin,False,True
ISED_2024_limited_service_restaurant_00_1_30k_5m_total_revenue,limited_service_restaurant,722512,00,1,30k_5m,total_revenue,False,False
ISED_2024_limited_service_restaurant_00_1_30k_5m_profit_margin,limited_service_restaurant,722512,00,1,30k_5m,profit_margin,False,False
ISED_2024_limited_service_restaurant_00_2_30k_5m_total_revenue,limited_service_restaurant,722512,00,2,30k_5m,total_revenue,False,False
ISED_2024_limited_service_restaurant_00_2_30k_5m_profit_margin,limited_service_restaurant,722512,00,2,30k_5m,profit_margin,False,False
ISED_2024_limited_service_restaurant_00_3_30k_5m_total_revenue,limited_service_restaurant,722512,00,3,30k_5m,total_revenue,False,False
ISED_2024_limited_service_restaurant_00_3_30k_5m_profit_margin,limited_service_restaurant,722512,00,3,30k_5m,profit_margin,False,True
ISED_2024_limited_service_restaurant_48_1_30k_5m_total_revenue,limited_service_restaurant,722512,48,1,30k_5m,total_revenue,False,False
ISED_2024_limited_service_restaurant_48_1_30k_5m_profit_margin,limited_service_restaurant,722512,48,1,30k_5m,profit_margin,False,False
ISED_2024_limited_service_restaurant_48_2_30k_5m_total_revenue,limited_service_restaurant,722512,48,2,30k_5m,total_revenue,False,False
