profile_id,business_type_id,business_label,naics_code,naics_title,geography_code,geography,incorporation_status_code,incorporation_status,revenue_band,distribution,year,data_suppressed,partial_suppression,business_count,average_revenue_kcad,average_total_expenses_kcad,average_net_profit_loss_kcad,net_profit_loss_percent,cost_of_sales_percent,wages_benefits_percent,labour_commissions_percent,materials_subcontracts_percent,rent_percent,advertising_percent,insurance_percent,profitable_businesses_percent,current_ratio,debt_to_equity_ratio,gross_margin_percent,return_on_assets_percent,total_assets_kcad,total_liabilities_kcad,total_equity_kcad,revenue_quality_code,total_expenses_quality_code
ISED_2024_food_truck_00_1_30k_5m_total_revenue,food_truck,Food truck / mobile food service,722330,Mobile food services,00,Canada,1,Unincorporated businesses,30k_5m,total_revenue,2024,False,False,1484,103.5,77.3,26.2,25.3,38.7,1.9,9.0,36.7,2.8,0.3,1.1,,,,,,,,,A,B
ISED_2024_food_truck_00_1_30k_5m_profit_margin,food_truck,Food truck / mobile food service,722330,Mobile food services,00,Canada,1,Unincorporated businesses,30k_5m,profit_margin,2024,False,False,1484,103.5,77.3,26.2,25.3,38.7,1.9,9.0,36.7,2.8,0.3,1.1,,,,61.3,,,,,A,B
ISED_2024_food_truck_00_2_30k_5m_total_revenue,food_truck,Food truck / mobile food service,722330,Mobile food services,00,Canada,2,Incorporated businesses,30k_5m,total_revenue,2024,False,False,842,348.7,329.5,19.2,5.5,44.0,5.4,19.0,38.5,6.8,2.0,1.4,,1.0,6.5,55.0,11.6,186.9,162.1,24.8,C,C
ISED_2024_food_truck_00_2_30k_5m_profit_margin,food_truck,Food truck / mobile food service,722330,Mobile food services,00,Canada,2,Incorporated businesses,30k_5m,profit_margin,2024,False,False,842,348.7,329.5,19.2,5.5,44.0,5.4,19.0,38.5,6.8,2.0,1.4,,1.0,6.5,55.0,11.6,186.9,162.1,24.8,C,C
ISED_2024_food_truck_00_3_30k_5m_total_revenue,food_truck,Food truck / mobile food service,722330,Mobile food services,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,2326,192.3,168.6,23.7,12.3,42.2,4.2,15.6,37.9,5.4,1.4,1.3,77.6,,,,,,,,C,C
ISED_2024_food_truck_00_3_30k_5m_profit_margin,food_truck,Food truck / mobile food service,722330,Mobile food services,00,Canada,3,All businesses,30k_5m,profit_margin,2024,False,True,2326,192.3,168.6,23.7,12.3,42.2,4.2,15.6,37.9,5.4,1.4,1.3,77.6,,,57.8,,,,,C,C
ISED_2024_food_truck_48_1_30k_5m_total_revenue,food_truck,Food truck / mobile food service,722330,Mobile food services,48,Alberta,1,Unincorporated businesses,30k_5m,total_revenue,2024,False,False,204,80.1,57.8,22.3,27.8,32.1,1.4,5.0,30.8,2.5,0.5,1.3,,,,,,,,,A,B
ISED_2024_food_truck_48_1_30k_5m_profit_margin,food_truck,Food truck / mobile food service,722330,Mobile food services,48,Alberta,1,Unincorporated businesses,30k_5m,profit_margin,2024,False,False,204,80.1,57.8,22.3,27.8,32.1,1.4,5.0,30.8,2.5,0.5,1.3,,,,67.9,,,,,A,B
ISED_2024_food_truck_48_2_30k_5m_total_revenue,food_truck,Food truck / mobile food service,722330,Mobile food services,48,Alberta,2,Incorporated businesses,30k_5m,total_revenue,2024,False,False,129,278.0,263.9,14.1,5.1,38.8,2.6,18.1,36.2,9.0,2.3,2.0,,0.8,-7.5,60.0,10.7,148.9,171.9,-23.1,C,C
ISED_2024_food_truck_48_2_30k_5m_profit_margin,food_truck,Food truck / mobile food service,722330,Mobile food services,48,Alberta,2,Incorporated businesses,30k_5m,profit_margin,2024,False,False,129,278.0,263.9,14.1,5.1,38.8,2.6,18.1,36.2,9.0,2.3,2.0,,0.8,-7.5,60.0,10.7,148.9,171.9,-23.1,C,C
ISED_2024_food_truck_48_3_30k_5m_total_revenue,food_truck,Food truck / mobile food service,722330,Mobile food services,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,333,156.8,137.7,19.1,12.2,36.7,2.2,14.0,34.5,7.0,1.7,1.8,77.5,,,,,,,,C,C
ISED_2024_food_truck_48_3_30k_5m_profit_margin,food_truck,Food truck / mobile food service,722330,Mobile food services,48,Alberta,3,All businesses,30k_5m,profit_margin,2024,False,True,333,156.8,137.7,19.1,12.2,36.7,2.2,14.0,34.5,7.0,1.7,1.8,77.5,,,63.3,,,,,C,C
ISED_2024_full_service_restaurant_00_1_30k_5m_total_revenue,full_service_restaurant,Full-service restaurant,722511,Full-service restaurants,00,Canada,1,Unincorporated businesses,30k_5m,total_revenue,2024,False,False,1972,270.3,237.8,32.5,12.0,46.8,5.9,19.4,40.9,6.6,0.4,1.1,,,,,,,,,A,B
ISED_2024_full_service_restaurant_00_1_30k_5m_profit_margin,full_service_restaurant,Full-service restaurant,722511,Full-service restaurants,00,Canada,1,Unincorporated businesses,30k_5m,profit_margin,2024,False,False,1972,270.3,237.8,32.5,12.0,46.8,5.9,19.4,40.9,6.6,0.4,1.1,,,,53.2,,,,,A,B
