profile_id,business_type_id,business_label,naics_code,naics_title,geography_code,geography,incorporation_status_code,incorporation_status,revenue_band,distribution,year,data_suppressed,partial_suppression,business_count,average_revenue_kcad,average_total_expenses_kcad,average_net_profit_loss_kcad,net_profit_loss_percent,cost_of_sales_percent,wages_benefits_percent,labour_commissions_percent,materials_subcontracts_percent,rent_percent,advertising_percent,insurance_percent,profitable_businesses_percent,current_ratio,debt_to_equity_ratio,gross_margin_percent,return_on_assets_percent,total_assets_kcad,total_liabilities_kcad,total_equity_kcad,revenue_quality_code,total_expenses_quality_code
ISED_2024_food_truck_00_3_30k_5m_total_revenue,food_truck,Food truck / mobile food service,722330,Mobile food services,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,2326,192.3,168.6,23.7,12.3,42.2,4.2,15.6,37.9,5.4,1.4,1.3,77.6,,,,,,,,C,C
ISED_2024_food_truck_48_3_30k_5m_total_revenue,food_truck,Food truck / mobile food service,722330,Mobile food services,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,333,156.8,137.7,19.1,12.2,36.7,2.2,14.0,34.5,7.0,1.7,1.8,77.5,,,,,,,,C,C
ISED_2024_full_service_restaurant_00_3_30k_5m_total_revenue,full_service_restaurant,Full-service restaurant,722511,Full-service restaurants,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,36010,921.0,898.8,22.2,2.4,44.5,8.8,24.9,35.7,8.3,1.6,0.9,57.2,,,,,,,,C,C
ISED_2024_full_service_restaurant_48_3_30k_5m_total_revenue,full_service_restaurant,Full-service restaurant,722511,Full-service restaurants,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,4580,935.0,897.5,37.6,4.0,40.1,7.2,24.6,32.9,9.4,2.1,0.9,62.0,,,,,,,,C,C
ISED_2024_limited_service_restaurant_00_3_30k_5m_total_revenue,limited_service_restaurant,Limited-service restaurant / fast food,722512,Limited-service eating places,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,29061,760.3,739.6,20.7,2.7,45.2,7.4,21.7,37.8,8.6,2.3,0.7,58.2,,,,,,,,C,C
ISED_2024_limited_service_restaurant_48_3_30k_5m_total_revenue,limited_service_restaurant,Limited-service restaurant / fast food,722512,Limited-service eating places,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,3501,844.0,810.5,33.6,4.0,42.5,6.3,21.3,36.2,9.4,2.5,0.6,61.1,,,,,,,,C,C
ISED_2024_auto_repair_shop_00_3_30k_5m_total_revenue,auto_repair_shop,General automotive repair shop,811111,General automotive repair,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,19118,649.7,591.1,58.5,9.0,53.5,10.1,15.9,43.5,5.1,0.9,1.4,77.0,,,,,,,,C,C
ISED_2024_auto_repair_shop_48_3_30k_5m_total_revenue,auto_repair_shop,General automotive repair shop,811111,General automotive repair,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,2401,715.3,650.1,65.2,9.1,46.2,7.9,18.5,38.3,6.0,1.2,1.6,76.8,,,,,,,,C,C
ISED_2024_tire_shop_00_3_30k_5m_total_revenue,tire_shop,Tire dealer / tire shop,441340,Tire dealers,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,1412,1342.4,1271.2,71.2,5.3,65.4,5.6,13.5,59.8,3.8,1.0,1.0,73.5,,,,,,,,C,C
ISED_2024_tire_shop_48_3_30k_5m_total_revenue,tire_shop,Tire dealer / tire shop,441340,Tire dealers,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,261,1465.5,1378.4,87.1,5.9,63.2,5.8,13.4,58.0,4.3,1.1,1.0,79.3,,,,,,,,C,C
ISED_2024_hair_salon_00_3_30k_5m_total_revenue,hair_salon,Unisex hair salon,812116,Unisex hair salons,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,13090,153.9,123.2,30.7,19.9,24.6,10.6,25.3,14.0,12.2,1.3,0.9,87.3,,,,,,,,B,C
ISED_2024_hair_salon_48_3_30k_5m_total_revenue,hair_salon,Unisex hair salon,812116,Unisex hair salons,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,1506,196.0,161.1,34.9,17.8,24.3,10.8,25.6,13.5,12.5,1.7,0.8,85.3,,,,,,,,C,C
ISED_2024_beauty_salon_00_3_30k_5m_total_revenue,beauty_salon,Beauty salon,812115,Beauty salons,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,18318,192.2,166.9,25.3,13.1,21.6,8.4,31.0,13.2,14.0,1.8,1.0,77.4,,,,,,,,C,C
ISED_2024_beauty_salon_48_3_30k_5m_total_revenue,beauty_salon,Beauty salon,812115,Beauty salons,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,2769,219.2,187.4,31.8,14.5,18.9,6.5,33.1,12.4,13.0,1.7,0.9,80.0,,,,,,,,C,C
ISED_2024_small_motel_00_3_30k_5m_total_revenue,small_motel,Motel,721114,Motels,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,1937,561.4,482.2,79.1,14.1,13.0,2.9,24.0,10.2,1.6,1.4,3.0,73.2,,,,,,,,C,C
ISED_2024_small_motel_48_3_30k_5m_total_revenue,small_motel,Motel,721114,Motels,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,242,666.3,550.0,116.3,17.5,9.3,3.3,22.8,6.0,1.4,1.7,2.8,71.9,,,,,,,,C,C
ISED_2024_janitorial_cleaning_company_00_3_30k_5m_total_revenue,janitorial_cleaning_company,Janitorial service company,561722,Janitorial services (except window cleaning),00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,23854,244.9,192.2,52.7,21.5,32.4,10.7,24.1,21.7,2.1,1.4,1.2,86.0,,,,,,,,C,C
ISED_2024_janitorial_cleaning_company_48_3_30k_5m_total_revenue,janitorial_cleaning_company,Janitorial service company,561722,Janitorial services (except window cleaning),48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,4362,202.1,150.3,51.8,25.6,23.1,7.1,25.9,16.0,2.3,1.7,1.6,87.9,,,,,,,,C,C
ISED_2024_security_systems_installer_00_3_30k_5m_total_revenue,security_systems_installer,Security systems service / installer,561621,Security systems services (except locksmiths),00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,2121,586.0,521.0,65.0,11.1,46.6,10.9,21.6,35.8,2.2,1.7,1.3,77.3,,,,,,,,C,C
ISED_2024_security_systems_installer_48_3_30k_5m_total_revenue,security_systems_installer,Security systems service / installer,561621,Security systems services (except locksmiths),48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,252,516.9,424.4,92.5,17.9,39.2,8.1,20.0,31.1,2.3,2.3,1.6,79.0,,,,,,,,C,C
ISED_2024_pet_grooming_care_00_3_30k_5m_total_revenue,pet_grooming_care,Pet care / grooming service,812910,Pet care (except veterinary) services,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,4524,187.4,156.2,31.2,16.6,18.8,7.1,29.8,11.8,8.1,1.8,1.2,83.3,,,,,,,,C,C
ISED_2024_pet_grooming_care_48_3_30k_5m_total_revenue,pet_grooming_care,Pet care / grooming service,812910,Pet care (except veterinary) services,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,743,205.4,166.6,38.9,18.9,14.8,6.9,30.2,7.9,9.5,1.8,1.3,84.7,,,,,,,,C,C
ISED_2024_tax_preparation_service_00_3_30k_5m_total_revenue,tax_preparation_service,Tax preparation service,541213,Tax preparation services,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,2835,230.2,165.4,64.8,28.2,5.0,1.9,34.2,3.0,5.5,2.2,1.0,88.1,,,,,,,,C,C
ISED_2024_tax_preparation_service_48_3_30k_5m_total_revenue,tax_preparation_service,Tax preparation service,541213,Tax preparation services,48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,385,255.3,176.0,79.3,31.1,3.3,1.3,32.0,2.0,5.8,2.2,1.1,90.1,,,,,,,,C,C
ISED_2024_bookkeeping_payroll_service_00_3_30k_5m_total_revenue,bookkeeping_payroll_service,Bookkeeping and payroll service,541215,"Bookkeeping, payroll and related services",00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,15165,154.8,100.1,54.6,35.3,8.5,4.1,30.5,4.4,3.6,1.7,1.0,91.3,,,,,,,,C,C
ISED_2024_bookkeeping_payroll_service_48_3_30k_5m_total_revenue,bookkeeping_payroll_service,Bookkeeping and payroll service,541215,"Bookkeeping, payroll and related services",48,Alberta,3,All businesses,30k_5m,total_revenue,2024,False,False,2150,140.1,89.1,51.0,36.4,7.6,3.5,29.9,4.1,3.4,1.9,1.0,90.1,,,,,,,,C,C
ISED_2024_cabinet_shop_00_3_30k_5m_total_revenue,cabinet_shop,Wood kitchen cabinet and countertop manufacturer,337110,Wood kitchen cabinet and counter top manufacturing,00,Canada,3,All businesses,30k_5m,total_revenue,2024,False,False,2797,747.5,692.1,55.4,7.4,57.2,15.4,14.8,41.4,5.3,0.8,1.0,74.0,,,,,,,,C,C
