source_id,name,type,region,access,url,best_use,data_fit,priority
NVD_CPE_DICTIONARY,NIST NVD Official CPE Dictionary,official_it_product_identifier_dictionary,US/international,Public XML download; updated nightly,https://nvd.nist.gov/products/cpe,"Official vendor/product/version identifiers for software, operating systems and hardware platforms; vulnerability linkage.",classification_identifier_evidence,1
ENERGY_STAR_COMPUTERS,ENERGY STAR Certified Computers V9.0,certified_product_dataset,US/Canada reference,Public Socrata/API/CSV export,https://data.energystar.gov/Active-Specifications/ENERGY-STAR-Certified-Computers-V9-0/rxdj-2c88,"Certified computers with brand/model, type, processor, memory, energy metrics and UPC/model information where provided.",verified_product_performance_records,1
EPEAT_REGISTRY,EPEAT Registry,sustainability_certified_product_registry,global,Public registry/product finder,https://www.epeat.net/product-finder,"Computers/displays, servers, imaging equipment, mobile phones and electronics sustainability certifications.",certification_evidence,1
ISED_REL,ISED Radio Equipment List,certified_radio_equipment_registry,Canada,Public searchable registry,https://ised-isde.canada.ca/site/certification-engineering-bureau/en/wireless-program/radio-equipment-list-rel,"Certified radio equipment approved for use in Canada; evidence layer for phones, radios, Wi-Fi, Bluetooth, microwave/RF devices.",regulatory_evidence,1
ISED_EQUIPMENT_CERT_REG,ISED Equipment Certification and Registration Services,radio_wireless_certification_search_tools,Canada,Public search tools; account for submissions,https://ised-isde.canada.ca/site/spectrum-management-system/en/equipment-certification-and-registration-services,"Radio equipment list, testing laboratories and company registration search tools for Canadian compliance.",regulatory_access_path,1
FCC_EQUIPMENT_AUTHORIZATION,FCC Equipment Authorization Search,wireless_rf_device_certification_database,US,Public search,https://www.fcc.gov/oet/ea/fccid,"Wireless/RF device certification evidence, photos, filings and authorization records.",regulatory_evidence,2
FCC_GRANTEE_REGISTRATIONS,FCC EAS Equipment Authorization Grantee Registrations,downloadable_government_dataset,US,Public CSV/JSON/XML/RDF downloads via data.gov,https://catalog.data.gov/dataset/eas-equipment-authorization-grantee-registrations,Manufacturer/grantee lookup for FCC IDs and device evidence linkage.,regulatory_lookup,2
RADIOREFERENCE_DATABASE,RadioReference Database,radio_communications_frequency_database,US/Canada,Public database; downloads/API terms apply,https://www.radioreference.com/db/,"Scanner, public safety, amateur and land-mobile frequency/talkgroup context.",communications_reference,3
RADIOREFERENCE_API,RadioReference Database Web Service API,radio_frequency_api,US/Canada,API / terms apply,https://support.radioreference.com/hc/en-us/articles/18844460198932-Database-Web-Service-API,Frequency/talkgroup/trunking data access for radio programming and reference workflows.,communications_reference_api,3
GSMARENA,GSMArena phone specification database,mobile_phone_specs_reference,global,Public website; no official bulk download found,https://www.gsmarena.com/,"Mobile/cell phone specs and reviews; use carefully as reference, not official bulk feed.",phone_specs_reference,3
GSMARENA_KAGGLE,GSMArena Phone Dataset on Kaggle,mobile_phone_specs_dataset,global,Kaggle account/download terms apply,https://www.kaggle.com/datasets/arwinneil/gsmarena-phone-dataset,Extracted mobile phone specs dataset for historical/spec Comparator population.,phone_specs_dataset,3
GS1_GPC,GS1 Global Product Classification,official_global_product_classification,global,Public browser and standard files,https://www.gs1.org/standards/gpc/access-gpc-standards,"Official product category classification for computers, phones, peripherals and IT hardware.",classification,2
INGRAM_MICRO_FLAT_FILES,Ingram Micro price/inventory flat files,it_distributor_catalog_flat_file,US/Canada/international,Reseller access / FTP download,https://developer.ingrammicro.com/sites/default/files/apidoc_specs/catalog.v1_16.yaml,Bulk price catalogue and inventory flat files; likely better for bulk catalog population than cyclic API calls.,bulk_live_distributor_feed,1
INGRAM_MICRO_CATALOG_API,Ingram Micro Product Catalog API,it_distributor_catalog_api,US/Canada/international,Reseller/developer access required,https://developer.ingrammicro.com/reseller/api-documentation/United_States,Search products by SKU or criteria; find price and availability for SKUs.,live_distributor_offer_source,2
TD_SYNNEX_ION_API,TD SYNNEX StreamOne Ion Catalog API,it_distributor_catalog_api,US/Canada/international,Partner/developer access required,https://www.tdsynnex.com/ion/v3api/,"Product APIs for product details, features, capabilities, pricing and more.",live_distributor_offer_source,2
CDW_API_PORTAL,CDW API Management Portal,it_reseller_catalog_api,US/Canada,Developer account / keys required,https://portal.apiconnect.cdw.com/apis,"Price and Availability API exposes MSRP, reseller pricing, inventory and product attributes.",live_reseller_offer_source,3
DELL_PREMIER_API,Dell Premier APIs / Catalog Pull API,manufacturer_catalog_api,global,Customer/Premier access required,https://www.delltechnologies.com/asset/en-us/solutions/premier-solutions/briefs-summaries/dell-premier-api-introduction-direct.pdf,"Dell catalog, SKU descriptions, pricing and order-related information for customer catalog access.",manufacturer_direct_catalog_source,3
DELL_DATASHEETS,Dell Product Datasheets,manufacturer_product_datasheets,global,Public support pages,https://www.dell.com/en-ca/lp/legal/product-info-datasheets,Current Dell product datasheets and technical documentation.,manufacturer_spec_reference,3
