category,domain,notes
Living Room Furniture,furniture,"sofas, sectionals, recliners, coffee tables, TV stands"
Bedroom Furniture,furniture,"beds, mattresses, nightstands, dressers, wardrobes"
Dining / Kitchen Furniture,furniture,"tables, chairs, stools, islands, sideboards"
Office Furniture,furniture_office,"desks, task chairs, filing cabinets, bookcases, office systems"
Storage / Organization,furnishings,"shelving, cabinets, closet systems, bins, wardrobes"
Outdoor / Patio Furniture,furniture_outdoor,"patio sets, loungers, benches, umbrellas"
Mattresses / Bedding Foundation,furniture_mattress,"mattresses, bed frames, box springs, adjustable bases"
Home Textiles,soft_furnishings,"rugs, curtains, cushions, throws, bedding, towels"
Lighting / Lamps,furnishings,"floor lamps, table lamps, pendant lighting, task lighting"
Decor / Wall Art,furnishings,"mirrors, wall art, clocks, vases, decor objects"
Casegoods / Cabinets,furniture_casework,"cabinets, entertainment units, sideboards, commercial casework"
Commercial / Institutional Furniture,commercial_furniture,"BIFMA-focused seating, desks, systems, tables, storage"
BIM / 3D Furniture Models,bim_reference,"Revit, IFC, 3D model, CAD/BIM object references"
Furniture Compliance Evidence,evidence,"BIFMA, LEVEL, safety, durability, sustainability"
Product Identity / Classification,identity,"GS1 GPC, NAPCS, UPC/GTIN, manufacturer SKU"
