category,domain,notes
Kitchen Appliances,appliances,"refrigerators, freezers, dishwashers, ovens, ranges, cooktops, microwaves"
Laundry Appliances,appliances,"clothes washers, clothes dryers, washer/dryer combos"
Small Kitchen Appliances,small_appliances,"coffee makers, blenders, mixers, toasters, air fryers, food processors"
Housewares,housewares,"storage, bins, cleaning tools, laundry, home organization"
Kitchenwares,kitchenwares,"cookware, bakeware, knives, utensils, food storage, tableware"
Dinnerware / Tabletop,kitchenwares,"plates, bowls, glasses, mugs, flatware, serving ware"
Cleaning / Janitorial Home Goods,housewares,"mops, brooms, brushes, detergents, buckets, trash cans"
Home Textiles,soft_goods,"towels, bedding, curtains, rugs, mats"
Men's Clothing,clothing,"tops, bottoms, outerwear, underwear, socks"
Women's Clothing,clothing,"tops, bottoms, dresses, outerwear, underwear"
Children's Clothing,clothing,"tops, bottoms, schoolwear, outerwear"
Footwear,clothing_accessories,"shoes, boots, sandals, work footwear"
Accessories,clothing_accessories,"bags, belts, hats, watches, jewellery, gloves"
Workwear / PPE Clothing,clothing_safety,"hi-vis, coveralls, flame resistant, rainwear, work boots"
Apparel Attribute Evidence,evidence,"size, colour, gender, fabric, season, style, fit, material, care instructions"
Appliance Energy Evidence,evidence,"ENERGY STAR, EnerGuide/NRCan, annual energy use, water use"
