category,domain,notes
Lumber & structural wood,building_materials,"dimensional lumber, engineered wood, plywood, OSB"
Insulation,building_envelope,"batts, rigid insulation, spray foam, mineral wool"
Windows / doors / skylights,openings,"NRCan/ENERGY STAR evidence, U-factor, ER, SHGC"
Roofing,building_envelope,"shingles, metal roofing, membranes, underlayment"
Siding / cladding,building_envelope,"vinyl, fibre cement, metal, wood, composite"
Drywall & plaster,interior_finishes,"gypsum board, compounds, corner bead"
Paint & coatings,interior_exterior_finishes,"paint, primer, stains, sealers"
Fasteners,hardware,"nails, screws, anchors, bolts, structural connectors"
Adhesives / sealants / caulking,chemicals,"construction adhesive, silicone, polyurethane, firestop"
Electrical,building_systems,"wire, boxes, breakers, lighting, devices"
Plumbing,building_systems,"pipe, fittings, valves, pumps, fixtures"
HVAC,building_systems,"furnaces, ventilation, ducting, filters, thermostats"
Flooring,interior_finishes,"tile, laminate, vinyl plank, carpet, hardwood"
Concrete / masonry,site_structure,"cement, rebar, block, mortar, pavers"
Tools,hardware_tools,"hand tools, power tools, ladders, PPE"
Cabinetry / millwork,interior_fitout,"cabinets, counters, trim, mouldings"
Decking / outdoor structures,exterior,"deck boards, railings, fencing, landscape materials"
Appliances,household_equipment,Energy Star products where applicable
Safety / fire protection,safety,"smoke alarms, firestop, extinguishers, PPE"
Building code assessment,evidence,"CCMC, ICC-ES, UL, CSA, ENERGY STAR evidence"
