category,record_type,source_note
Connectors,current_category,Newark / Octopart / TrustedParts
Circular Connectors,current_category,Newark / Octopart
Passive Components,current_category,Octopart
Resistors,current_category,Newark / Octopart
Capacitors,current_category,Newark / Octopart
Cables and Wire,current_category,Newark / Octopart / TrustedParts
Tools and Supplies,current_category,Newark / Octopart / TrustedParts
Electromechanical,current_category,Octopart / TrustedParts
Semiconductors,current_category,TrustedParts / Newark
Optoelectronics,current_category,TrustedParts / Newark
Power,current_category,TrustedParts / Newark
Test & Measurement,current_category,TrustedParts / Newark
Thermal Management,current_category,TrustedParts
Sensors,current_category,TrustedParts / Newark
Embedded Solutions,current_category,TrustedParts
Circuit Protection,current_category,TrustedParts / Newark
