category,domain,notes
Hand Tools,tools,"wrenches, sockets, pliers, screwdrivers, hammers, measuring tools"
Power Tools,tools,"drills, saws, grinders, sanders, impact drivers, batteries"
Cutting / Abrasives,tools_consumables,"drill bits, saw blades, grinding wheels, sanding discs, files"
Fasteners - Bolts / Nuts / Washers,fasteners,"imperial/metric, grade 5/8, stainless, structural, specialty"
Fasteners - Screws / Anchors,fasteners,"wood screws, machine screws, concrete anchors, drywall anchors"
Rivets / Inserts / Threaded Fasteners,fasteners,"rivets, rivet nuts, threaded inserts, pins, clips"
Cabinet Hinges / Lift Systems,cabinet_hardware,"Blum/Richelieu/Hettich/Häfele hinges, lift systems, plates"
Drawer Slides / Runners,cabinet_hardware,"Accuride/Blum/Hettich drawer slides, runners, capacities"
Cabinet Pulls / Knobs,cabinet_hardware,"decorative hardware, pulls, knobs, finishes, hole spacing"
Kitchen Cabinet Systems,cabinet_hardware,"organizers, pantry systems, corner units, trash/recycling pullouts"
Sliding / Door Hardware,property_hardware,"tracks, rollers, barn door, pocket door, closet systems"
Locks / Latches / Security Hardware,property_hardware,"padlocks, cam locks, cabinet locks, hasps, deadbolts"
Property Maintenance Supplies,property_supplies,"snow, lawn, garden, cleaners, lubricants, janitorial, repair supplies"
Electrical / Datacom Hardware,property_supplies,"strut, cable management, low voltage, connectors, boxes"
Plumbing / Hose / Fittings,property_supplies,"valves, clamps, hose, fittings, pipe supports"
Material Handling / Storage,industrial_supplies,"bins, storage, carts, shelving, lifting, shop organization"
Safety / PPE,industrial_supplies,"gloves, eye/ear protection, fall protection, hi-vis"
MRO / Industrial Supplies,industrial_supplies,"bearings, belts, lubricants, abrasives, shop supplies"
Local Red Deer Supply,local_supplier,"Red Deer Bolt, Red Deer Fasteners, Bolt Supply Red Deer, Gregg Distributors"
Classification / Procurement Evidence,evidence,"UNSPSC, GS1 GPC, NAPCS, supplier catalog index"
