record_id,catalog_name,catalog_year,catalog_record_status,catalog_status_reason,product_lifecycle_status,current_replacement_status,price_status,category,product_name,manufacturer,newark_stock_no,manufacturer_part_no_or_type,author_or_creator,variant,pack_quantity,historical_price_usd,description,source_pdf_page,source_printed_page,extraction_confidence,notes
NWK112-0001,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Advanced C: Tips and Techniques,Howard W. Sams / Sams,90F3450,,Paul Anderson and Gail Anderson,,1,29.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0002,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Advanced Digital Audio,Howard W. Sams / Sams,50F6729,,Ken Pohlmann,,1,39.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0003,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Audio Systems Design and Installation,Howard W. Sams / Sams,50F6725,,Philip Giddings,,1,59.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0004,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Beginner's Guide to Printers,Howard W. Sams / Sams,50F8701,,John Stephenson,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0005,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Camcorder Survival Guide,Howard W. Sams / Sams,50F8702,,Robert Wolenik,,1,9.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0006,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Compact Disc Troubleshooting and Repair,Howard W. Sams / Sams,90F3467,,Neil Heller and Thomas Bentz,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0007,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,C Programmer's Guide to Serial Communications,Howard W. Sams / Sams,90F3488,,Joe Campbell,,1,29.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0008,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Active Filter Cookbook,Howard W. Sams / Sams,89F3094,,Don Lancaster,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0009,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,CMOS Cookbook,Howard W. Sams / Sams,89F3095,,Don Lancaster; revised by Howard Berlin,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0010,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"IC Op-Amp Cookbook, Third Edition",Howard W. Sams / Sams,89F3100,,Walter Jung,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0011,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"IC Timer Cookbook, Second Edition",Howard W. Sams / Sams,89F3091,,Walter Jung,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0012,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Optoelectronics Cookbook,Howard W. Sams / Sams,50F6731,,Joseph Carr,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0013,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,TTL Cookbook,Howard W. Sams / Sams,89F3134,,Don Lancaster,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0014,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Handbook for Sound Engineers: The New Audio Cyclopedia, Second Edition",Howard W. Sams / Sams,50F6727,,"Glen Ballou, editor-in-chief",,1,99.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0015,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Electrical Test Equipment,Howard W. Sams / Sams,51F1342,,"Mileaf, editor",,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0016,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Electrical Wiring,Howard W. Sams / Sams,51F1343,,"Arthur Seale, Jr.",,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0017,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Electricity One-Seven, Revised",Howard W. Sams / Sams,89F3129,,"Mileaf, editor",,1,49.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0018,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Electronics One-Seven, Revised, Second Edition",Howard W. Sams / Sams,89F3123,,"Mileaf, editor",,1,49.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0019,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Handbook of Computer-Communications Standards, Volume 1, Second Edition",Howard W. Sams / Sams,50F1127,,William Stallings,,1,39.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0020,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Handbook of Electronic Tables and Formulas, Sixth Edition",Howard W. Sams / Sams,89F3122,,Howard Sams Engineering Staff,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0021,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Data Communications, Networks, and Systems",Howard W. Sams / Sams,89F3087,,"Bartee, editor-in-chief",,1,39.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0022,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,Understanding Fiber Optics,Howard W. Sams / Sams,89F3110,,Jeff Hecht,,1,17.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0023,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,How to Design and Build Loudspeaker and Listening Enclosures,Howard W. Sams / Sams,50F8703,,Don and Carolyn Davis,,1,39.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0024,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"How to Read Schematics, Fourth Edition",Howard W. Sams / Sams,89F3099,,Don Herrington,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0025,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,IBM PC Advanced Troubleshooting and Repair,Howard W. Sams / Sams,90F3465,,Robert Brenner,,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0026,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,IBM Personal Computer Upgrade Guide,Howard W. Sams / Sams,50F8704,,"Corey Sandler, Tom Badgett and Jim Terry",,1,24.95,Technical electronics or computer reference book listed in the Newark catalog.,24,6,High,
NWK112-0027,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Modern Dictionary of Electronics, Sixth Edition",Howard W. Sams / Sams,89F3121,,Rudolf Graf,,1,39.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0028,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"The Waite Group's MS-DOS Developer's Guide, Second Edition",Howard W. Sams / Sams,90F3477,,John Angermeyer and Kevin Jaeger,,1,29.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0029,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Regulated Power Supplies, Third Edition",Howard W. Sams / Sams,89F3090,,Gottlieb,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0030,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,"Radio Handbook, Twenty-Third Edition",Howard W. Sams / Sams,50F6722,,William Orr,,1,39.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
NWK112-0031,Newark Electronics Catalog 112,1992,Obsolete,Historical catalog listing from 1992; listing and catalog price are no longer current.,Unverified,Unverified,Historical,Publications > Electronics Books,IC User's Casebook,Howard W. Sams / Sams,90F1916,,Carr,,1,19.95,Technical electronics or computer reference book listed in the Newark catalog.,25,7,High,
