section_no,section_title,printed_pages,catalog_record_status
1,"Military Products Index, Semiconductors, Publications",1-149,Obsolete
2,"LEDs, Displays, Optoelectronics, Static Control Products",150-185,Obsolete
3,"Resistors, Potentiometers, Thermistors",186-237,Obsolete
4,"Capacitors, Filters, Inductors",238-307,Obsolete
5,"Switches, Sensors, Knobs, Timers, Counters",308-406,Obsolete
6,"Relays, Contactors, Solenoids",407-488,Obsolete
7,"Transformers, Power Conditioners, Surge Suppressors, Circuit Breakers, Fuses, Batteries",489-573,Obsolete
8,"Connectors, Terminal Blocks, IC and Relay Sockets, Test Leads, Circuit Boards, PCB Hardware",574-813,Obsolete
9,"Wire and Cable, Heat Shrink Tubing",814-882,Obsolete
10,"Computer and Telephone Accessories, Fiber Optics Products, Wiring Hardware",883-981,Obsolete
11,"Indicators, Lamps",982-1006,Obsolete
12,"Chemicals, Hardware, Lighting, Fans, Cabinets",1007-1063,Obsolete
13,"Tools, Solder Equipment",1064-1122,Obsolete
14,"Test Instruments, Panel Meters, Audio Equipment",1123-1179,Obsolete
15,Product Index,1180-1195,Obsolete
16,Manufacturers Index,1196-1200,Obsolete
