category,source,note,status
Connectors,Octopart,"2,310,848 Newark-related results",Current
Passive Components,Octopart,"820,060 Newark-related results",Current
Circular Connectors,Octopart,"804,475 Newark-related results",Current
Resistors,Octopart,"376,459 Newark-related results",Current
Cables and Wire,Octopart,"347,590 Newark-related results",Current
Capacitors,Octopart,"342,733 Newark-related results",Current
Card Edge Connectors,Octopart,"249,993 Newark-related results",Current
Electromechanical,Octopart,"234,221 Newark-related results",Current
Tools and Supplies,Octopart,"219,309 Newark-related results",Current
Headers and Wire Housings,Octopart,"208,492 Newark-related results",Current
Circuit Protection,TrustedParts,Authorized-channel category,Current
Embedded Solutions,TrustedParts,Authorized-channel category,Current
Optoelectronics,TrustedParts,Authorized-channel category,Current
Power,TrustedParts,Authorized-channel category,Current
Semiconductors,TrustedParts,Authorized-channel category,Current
Sensors,TrustedParts,Authorized-channel category,Current
Test & Measurement,TrustedParts,Authorized-channel category,Current
Thermal Management,TrustedParts,Authorized-channel category,Current
