record_id,catalog_name,catalog_year,index_type,index_term,category,historical_printed_pages,catalog_record_status,product_lifecycle_status,current_newark_search_status,current_newark_search_url,extraction_confidence
NWK112-IDX-0001,Newark Electronics Catalog 112,1992,Product Index,Breadboarding Kits,Prototyping / Circuit Boards,"794, 795, 1088",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Breadboarding%20Kits,Medium
NWK112-IDX-0002,Newark Electronics Catalog 112,1992,Product Index,Breadboarding Tools,Tools / Prototyping,794,Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Breadboarding%20Tools,Medium
NWK112-IDX-0003,Newark Electronics Catalog 112,1992,Product Index,Breakaway Headers,Connectors,"631, 692, 695, 696",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Breakaway%20Headers,Medium
NWK112-IDX-0004,Newark Electronics Catalog 112,1992,Product Index,Breakout Boxes,Test Instruments / Computer Accessories,"896, 1145",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Breakout%20Boxes,Medium
NWK112-IDX-0005,Newark Electronics Catalog 112,1992,Product Index,Butane Solder Tools,Tools / Solder Equipment,"1065, 1079, 1083",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Butane%20Solder%20Tools,Medium
NWK112-IDX-0006,Newark Electronics Catalog 112,1992,Product Index,Butt Splices,Terminals / Splices,"932, 934, 943, 946, 948, 949, 950, 954, 958, 969",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Butt%20Splices,Medium
NWK112-IDX-0007,Newark Electronics Catalog 112,1992,Product Index,Cabinet Racks,Cabinets / Enclosures,"1030, 1031, 1032, 1033, 1038, 1049",Obsolete,Unverified,Not Queried,https://www.newark.com/search?st=Cabinet%20Racks,Medium
NWK112-IDX-0008,Newark Electronics Catalog 112,1992,Product Index,"Cabinets, Portable",Cabinets / Enclosures,"1032, 1039, 1040, 1041, 1042",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cabinets,%20Portable",Medium
NWK112-IDX-0009,Newark Electronics Catalog 112,1992,Product Index,"Cabinets, Storage",Storage / Cabinets,"1058, 1061",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cabinets,%20Storage",Medium
NWK112-IDX-0010,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, 50-Pin Ribbon",Cable Assemblies,448,Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%2050-Pin%20Ribbon",Medium
NWK112-IDX-0011,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Coaxial",Cable Assemblies,"742, 743",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Coaxial",Medium
NWK112-IDX-0012,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Banana",Cable Assemblies,761,Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Banana",Medium
NWK112-IDX-0013,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, D-sub",Cable Assemblies,"667, 890, 894, 895",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20D-sub",Medium
NWK112-IDX-0014,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Data",Cable Assemblies,"860, 890, 892",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Data",Medium
NWK112-IDX-0015,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Ethernet Modular",Cable Assemblies,888,Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Ethernet%20Modular",Medium
NWK112-IDX-0016,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, Fiber-Optic",Cable Assemblies,"900, 901, 904, 908",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20Fiber-Optic",Medium
NWK112-IDX-0017,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, GPIB/IEEE Interface",Cable Assemblies,"488, 600, 679, 860, 861, 891",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20GPIB%2FIEEE%20Interface",Medium
NWK112-IDX-0018,Newark Electronics Catalog 112,1992,Product Index,"Cable Assemblies, IBM PS/2 Keyboard",Cable Assemblies,"892, 895",Obsolete,Unverified,Not Queried,"https://www.newark.com/search?st=Cable%20Assemblies,%20IBM%20PS%2F2%20Keyboard",Medium
