node_id,source_code,label,definition,children_codes
CA_NAPCS_2022_111,111,Live animals,"This group comprises live animals, live insects and live semen.",11111|11112|11113|11114
CA_NAPCS_2022_112,112,Wheat,This group comprises all the varieties of unmilled wheat.,11211
CA_NAPCS_2022_113,113,Canola (including rapeseed),This group comprises canola and rapeseed.,11311
CA_NAPCS_2022_114,114,"Fresh fruit, nuts and vegetables, and pulse crops","This group comprises fresh fruit, nuts, and vegetables, and pulse crops.",11411|11421|11422|11431
CA_NAPCS_2022_115,115,Other crop products,This group comprises crop products n.e.c.,11511|11512|11513|11514
CA_NAPCS_2022_116,116,Other animal products,This group comprises animal products n.e.c.,11611|11612|11613
CA_NAPCS_2022_121,121,"Fish, crustaceans, shellfish and other fishery products","This group comprises fish, crustaceans, shellfish and other fishery products, live and dead, except processed beyond frozen or dressed.",12111
CA_NAPCS_2022_131,131,"Logs, pulpwood and other forestry products","This group comprises wood logs, pulpwood and other forestry products.",13111|13112|13113
CA_NAPCS_2022_141,141,Crude oil and bitumen,"This group comprises conventional crude oil, crude and diluted bitumen, and synthetic crude oil.",14111|14112|14113
CA_NAPCS_2022_142,142,Natural gas,"This group comprises natural gas, a mixture of gaseous hydrocarbons consisting primarily of methane.",14211
CA_NAPCS_2022_143,143,Natural gas liquids (including condensate) and related products,"This group comprises natural gas liquids (NGLs) and related products. NGLs are found in natural gas and include liquefied petroleum gases or LPGs (propane, butane), ethane, lease condensate, pentanes plus, among others.",14311
CA_NAPCS_2022_144,144,Coal,"This group comprises coal, a combustible black (hard coal) and brownish-black (brown coal) rock consisting of more than 50% by weight and more than 70% by volume of carbonaceous material. It is formed from plant remains that have been compacted, hardened and chemically altered, and metamorphosed by heat and pressure over geologic time.",14411|14412
CA_NAPCS_2022_145,145,Nuclear fuel and other energy products,"This group comprises nuclear fuel, and fuel wood, fuel products of waste wood, other solid fuel products n.e.c.; and steam and heated or cooled air or water.",14511|14512|14513
CA_NAPCS_2022_146,146,Electricity,This group comprises all forms of generated electricity.,14611
CA_NAPCS_2022_147,147,Natural gas distribution,This group comprises natural gas distribution services through mains.,14711
CA_NAPCS_2022_151,151,Iron ores and concentrates,This group comprises iron ores and concentrates.,15111
CA_NAPCS_2022_152,152,Copper ores and concentrates,This group comprises copper ores and concentrates.,15211
CA_NAPCS_2022_153,153,Nickel ores and concentrates,This group comprises nickel ores and concentrates.,15311
CA_NAPCS_2022_154,154,Radioactive ores and concentrates,This group comprises radioactive ores and concentrates.,15411
CA_NAPCS_2022_155,155,Other metal ores and concentrates,This group comprises other metal ores and concentrates.,15511|15521|15522|15523
CA_NAPCS_2022_156,156,Waste and scrap of metal,This group comprises waste and scrap of metal.,15611|15612
CA_NAPCS_2022_157,157,"Waste and scrap of wood, wood by-products, paper and paperboard","This group comprises waste and scrap of wood, wood by-products, paper and paperboard.",15711|15712
CA_NAPCS_2022_158,158,Waste and scrap of plastic and rubber,This group comprises waste and scrap of plastic and rubber.,15811
CA_NAPCS_2022_159,159,Waste and scrap of glass,This group comprises waste and scrap of glass.,15911
CA_NAPCS_2022_161,161,Potash,This group comprises potash.,16111
CA_NAPCS_2022_162,162,"Stone, sand, gravel, clay, and refractory minerals","This group comprises stone, sand, gravel, clay, and refractory minerals.",16211|16212
CA_NAPCS_2022_163,163,Diamonds and other non-metallic minerals (except cut gemstones),"This group comprises diamonds and other non-metallic minerals, except cut gemstones.",16311|16312
CA_NAPCS_2022_171,171,Prepared and packaged seafood products,"This group comprises prepared, processed beyond dressing, and packaged seafood products.",17111
CA_NAPCS_2022_172,172,Meat products,"This group comprises fresh, frozen and processed meat products.",17211|17212|17213|17214|17215
CA_NAPCS_2022_173,173,Dairy products,This group comprises dairy products.,17311|17312|17313|17314
CA_NAPCS_2022_181,181,Animal feed,This group comprises animal feed.,18111|18112
CA_NAPCS_2022_182,182,Intermediate food products,"This group comprises intermediate food products such as cooking oils, flour and sugar.",18211|18212|18213|18214
CA_NAPCS_2022_183,183,Other food products,"This group comprises other food products such as breakfast cereal, bread, chocolate and snack food products.",18311|18312|18313|18314|18321|18322|18331|18341|18342|18351|18352|18361
CA_NAPCS_2022_191,191,Coffee and tea,This group comprises coffee and tea.,19111
CA_NAPCS_2022_192,192,"Frozen, fresh and canned fruit and vegetable juices","This group comprises frozen, fresh and canned fruit and vegetable juices.",19211
CA_NAPCS_2022_193,193,"Carbonated and non-carbonated drinks (including low alcohol fermented drinks), bottled water and ice","This group comprises carbonated and non-carbonated soft and other drinks, including low alcohol fermented drinks, bottled water and ice.",19311
CA_NAPCS_2022_211,211,Alcoholic beverages,"This group comprises alcoholic beverages such as beer, wine, brandy, whisky and other distilled liquor.",21111|21112|21113
CA_NAPCS_2022_212,212,Tobacco products (including electronic cigarettes),This group comprises tobacco products (including electronic cigarettes).,21211|21212
CA_NAPCS_2022_213,213,Cannabis products,"This group comprises cannabis viable seeds and vegetative plants; fresh and dried cannabis (buds and leaves); cannabis oil; other cannabis extracts and concentrates; cannabis-infused edible products; and other cannabis products n.e.c., for non-medical (recreational, wellness, lifestyle, spiritual, etc.) and medical uses. A plant of the genus Cannabis refers generally to three varieties which are cannabis Sativa, cannabis Indica and cannabis Ruderalis. Sativas and Indicas are the most commonly used cannabis strains for cultivation and propagation. The genetics of the different cannabis strains are widely mixed or cloned to create cannabis hybrids. Cannabis contains a number of active elements, including cannabinoids such as tetrahydrocannabinol (THC) or dronabinol, cannabidiol (CBD) and terpenes (aromatic compounds or chemical markers). Cannabis plants containing 0.3% w/w (weight for weight) of THC or less in the flowering tops and leaves - industrial hemp - and their derivatives with the THC concentration of 10 µg/g or less, as well as prescription drugs or pharmaceuticals containing cannabis, are excluded from this group.",21311|21312|21313
CA_NAPCS_2022_221,221,"Fabric, fibre and yarn, and leather and dressed furs","This group comprises fabric, fibre, yarn and thread, and leather and dressed furs.",22111|22112|22113
CA_NAPCS_2022_231,231,"Clothing, footwear and accessories","This group comprises clothing, footwear and accessories.",23111|23112|23113|23115|23122|23131
CA_NAPCS_2022_232,232,"Carpets, textile furnishings and other textile products","This group comprises carpets, textile furnishings and other textile products.",23211|23212|23213
CA_NAPCS_2022_241,241,Lumber and other sawmill products,This group comprises lumber and other sawmill products.,24111|24112|24121|24122|24123|24124
CA_NAPCS_2022_251,251,Pulp and paper,This group comprises pulp and paper.,25111|25112|25121|25122|25123
CA_NAPCS_2022_252,252,Converted paper products (except for packaging),"This group comprises converted paper products, except for packaging.",25211|25212|25213|25214|25215
CA_NAPCS_2022_261,261,Refined petroleum energy products (including liquid biofuels),"This group comprises refined petroleum energy products, and liquid biofuels.",26111|26121|26122|26131|26132|26133
CA_NAPCS_2022_262,262,Asphalt (except natural) and asphalt products,"This group comprises asphalt, except natural asphalt, and asphalt products.",26211
CA_NAPCS_2022_263,263,"Dyes and pigments, and petrochemicals","This group comprises dyes and pigments, and petrochemicals.",26311|26321
CA_NAPCS_2022_264,264,Lubricants and other petroleum refinery products,This group comprises lubricants and other petroleum refinery products.,26411
CA_NAPCS_2022_271,271,Basic chemicals,This group comprises basic chemicals.,27111|27112|27113
CA_NAPCS_2022_272,272,"Fertilizers, pesticides and other chemical products","This group comprises fertilizers, pesticides and other chemical products.",27211|27212|27213
CA_NAPCS_2022_273,273,Pharmaceutical and medicinal products,This group comprises pharmaceutical and medicinal products.,27311
CA_NAPCS_2022_274,274,Cleaning products and toiletries,This group comprises cleaning products and toiletries.,27411|27412
CA_NAPCS_2022_281,281,Plastic resins,This group comprises plastic resins.,28112|28113|28114
CA_NAPCS_2022_282,282,Plastic and rubber basic products not for packaging use (except plastic resins),"This group comprises basic plastic and rubber products not for packaging use, except plastic resins.",28211|28221|28231|28232
CA_NAPCS_2022_283,283,Tires,This group comprises tires.,28311
CA_NAPCS_2022_284,284,Plastic and rubber finished products,This group comprises plastic and rubber finished products.,28411|28412|28413|28414
CA_NAPCS_2022_291,291,Non-metallic mineral products,This group comprises non-metallic mineral products.,29111|29112|29113|29114
CA_NAPCS_2022_311,311,"Unwrought iron, steel and ferro-alloys","This group comprises unwrought iron, steel and ferro-alloys.",31111
CA_NAPCS_2022_312,312,Basic and semi-finished iron or steel products,This group comprises basic and semi-finished iron or steel products.,31211|31212|31213|31214
CA_NAPCS_2022_321,321,Unwrought aluminum and aluminum alloys,This group comprises unwrought aluminum and aluminum alloys.,32111
CA_NAPCS_2022_322,322,Unwrought copper and copper alloys,This group comprises unwrought copper and copper alloys.,32211
CA_NAPCS_2022_323,323,Unwrought nickel and nickel alloys,This group comprises unwrought nickel and nickel alloys.,32311
CA_NAPCS_2022_324,324,"Unwrought gold, silver, and platinum group metals, and their alloys","This group comprises unwrought gold, silver, and platinum group metals, and their alloys.",32412
CA_NAPCS_2022_325,325,Other unwrought non-ferrous metals and non-ferrous metal alloys,This group comprises other unwrought non-ferrous metals and non-ferrous metal alloys.,32511
CA_NAPCS_2022_326,326,Basic and semi-finished products of non-ferrous metals and non-ferrous metal alloys (except aluminum),"This group comprises basic and semi-finished products of non-ferrous metals and non-ferrous metal alloys, except aluminum.",32611|32612
CA_NAPCS_2022_327,327,Basic and semi-finished products of aluminum and aluminum alloys,This group comprises basic and semi-finished products of aluminum and aluminum alloys.,32711
CA_NAPCS_2022_331,331,"Agricultural, lawn and garden machinery and equipment","This group comprises machinery and equipment used for agriculture, lawn and garden.",33111
