node_id,source_code,parent_code,label,definition,path_string,comparator_class_type,default_offer_template
CA_NAPCS_2022_1111111,1111111,111111,Cattle,"Live beef and dairy cattle, 1 year and over.",Live animals / Cattle and calves / Cattle and calves / Cattle,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111112,1111112,111111,Calves,"Live calves, under 1 year.",Live animals / Cattle and calves / Cattle and calves / Calves,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111211,1111211,111121,Hogs for breeding,Live porcine animals raised for breeding.,Live animals / Hogs / Hogs / Hogs for breeding,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111212,1111212,111121,Nursing and weaner hogs,"Live young pigs and piglets, weaned and unweaned, raised for meat production.",Live animals / Hogs / Hogs / Nursing and weaner hogs,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111213,1111213,111121,Market hogs,"Live porcine animals 23 kg and over, raised for meat production.",Live animals / Hogs / Hogs / Market hogs,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111311,1111311,111131,Chickens for breeding,Live chickens raised for breeding.,Live animals / Poultry / Chickens / Chickens for breeding,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111312,1111312,111131,Hens and pullets for laying eggs,Live hens and pullets raised for egg production.,Live animals / Poultry / Chickens / Hens and pullets for laying eggs,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111313,1111313,111131,Chickens for meat,Live chickens raised for meat production.,Live animals / Poultry / Chickens / Chickens for meat,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111321,1111321,111132,Turkeys for breeding,Live turkeys raised for breeding.,Live animals / Poultry / Turkeys / Turkeys for breeding,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111322,1111322,111132,Turkeys for meat,Live turkeys raised for meat production.,Live animals / Poultry / Turkeys / Turkeys for meat,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111331,1111331,111133,Chicks,"Live chicks, from hatching until placed in raising facilities.",Live animals / Poultry / Chicks and poults / Chicks,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111332,1111332,111133,Poults,"Live poults, from hatching until placed in raising facilities.",Live animals / Poultry / Chicks and poults / Poults,ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_1111341,1111341,111134,"Poultry (except chickens, turkeys, chicks and poults)","Live poultry, except chickens, turkeys, chicks and poults.","Live animals / Poultry / Poultry (except chickens, turkeys, chicks and poults) / Poultry (except chickens, turkeys, chicks and poults)",ExternalProductDetail,BaseComparableOffer
