Level,Code,Code title,Element Type Label English,Element Description English
1,111,Live animals,Exclusion(s),eggs in shell for hatcheries (See 1161112 Eggs in shell for hatcheries)
1,111,Live animals,Exclusion(s),"live fish, crustaceans and shellfish (See 121111 Live fish, crustaceans and shellfish)"
4,1111111,Cattle,Illustrative example(s),live beef cows
4,1111111,Cattle,Illustrative example(s),"live beef heifers for herd replacement, 1 year and over"
4,1111111,Cattle,Illustrative example(s),live beef heifers for slaughter
4,1111111,Cattle,Illustrative example(s),live dairy cattle for slaughter
4,1111111,Cattle,Illustrative example(s),live dairy cows
4,1111111,Cattle,Illustrative example(s),"live dairy heifers for herd replacement, 1 year and over"
4,1111111,Cattle,Illustrative example(s),live feeder cattle
4,1111111,Cattle,Illustrative example(s),live steers
4,1111111,Cattle,Illustrative example(s),pure-bred beef cattle for breeding
4,1111111,Cattle,Illustrative example(s),pure-bred dairy cattle for breeding
4,1111111,Cattle,All examples,cattle
4,1111111,Cattle,All examples,dual purpose cattle breeds if main production is for dairy
4,1111111,Cattle,All examples,dual purpose cattle breeds if main production is for meat
4,1111111,Cattle,All examples,"live beef bulls for breeding, 1 year and over"
4,1111111,Cattle,All examples,live beef cattle
4,1111111,Cattle,All examples,live beef cows
4,1111111,Cattle,All examples,"live beef heifers for herd replacement, 1 year and over"
4,1111111,Cattle,All examples,live beef heifers for slaughter
4,1111111,Cattle,All examples,live bulls for slaughter
4,1111111,Cattle,All examples,live cattle
4,1111111,Cattle,All examples,live cattle for feeding
4,1111111,Cattle,All examples,live cattle for slaughter
4,1111111,Cattle,All examples,live cows for slaughter
4,1111111,Cattle,All examples,"live dairy bulls for breeding, 1 year and over"
4,1111111,Cattle,All examples,live dairy cattle
4,1111111,Cattle,All examples,live dairy cattle for slaughter
4,1111111,Cattle,All examples,live dairy cows
4,1111111,Cattle,All examples,"live dairy heifers for herd replacement, 1 year and over"
4,1111111,Cattle,All examples,live feeder cattle
4,1111111,Cattle,All examples,live heifers for feeding
4,1111111,Cattle,All examples,live heifers for slaughter
4,1111111,Cattle,All examples,live steers
4,1111111,Cattle,All examples,live steers for feeding
4,1111111,Cattle,All examples,live steers for slaughter
4,1111111,Cattle,All examples,other live cattle
4,1111111,Cattle,All examples,other live cattle for feeding
4,1111111,Cattle,All examples,pure-bred beef cattle for breeding
