Level,Hierarchical structure,Code,Parent,Code title,Superscript,Code definition
1,Group,111,,Live animals,,"This group comprises live animals, live insects and live semen."
2,Class,11111,111,Cattle and calves,,"This class comprises live beef and dairy cattle, and live calves."
3,Subclass,111111,11111,Cattle and calves,,"This subclass comprises live beef and dairy cattle, and live calves."
4,Detail,1111111,111111,Cattle,,"Live beef and dairy cattle, 1 year and over."
4,Detail,1111112,111111,Calves,,"Live calves, under 1 year."
2,Class,11112,111,Hogs,,This class comprises live porcine animals.
3,Subclass,111121,11112,Hogs,,This subclass comprises live porcine animals.
4,Detail,1111211,111121,Hogs for breeding,,Live porcine animals raised for breeding.
4,Detail,1111212,111121,Nursing and weaner hogs,,"Live young pigs and piglets, weaned and unweaned, raised for meat production."
4,Detail,1111213,111121,Market hogs,,"Live porcine animals 23 kg and over, raised for meat production."
2,Class,11113,111,Poultry,,This class comprises live poultry.
3,Subclass,111131,11113,Chickens,,This subclass comprises live chickens.
4,Detail,1111311,111131,Chickens for breeding,,Live chickens raised for breeding.
4,Detail,1111312,111131,Hens and pullets for laying eggs,,Live hens and pullets raised for egg production.
4,Detail,1111313,111131,Chickens for meat,,Live chickens raised for meat production.
3,Subclass,111132,11113,Turkeys,,This subclass comprises live turkeys.
4,Detail,1111321,111132,Turkeys for breeding,,Live turkeys raised for breeding.
4,Detail,1111322,111132,Turkeys for meat,,Live turkeys raised for meat production.
3,Subclass,111133,11113,Chicks and poults,,This subclass comprises live chicks and poults.
4,Detail,1111331,111133,Chicks,,"Live chicks, from hatching until placed in raising facilities."
4,Detail,1111332,111133,Poults,,"Live poults, from hatching until placed in raising facilities."
3,Subclass,111134,11113,"Poultry (except chickens, turkeys, chicks and poults)",,"This subclass comprises live poultry, except chickens, turkeys, chicks and poults."
4,Detail,1111341,111134,"Poultry (except chickens, turkeys, chicks and poults)",,"Live poultry, except chickens, turkeys, chicks and poults."
2,Class,11114,111,Other live animals,,"This class comprises live animals n.e.c., live insects and live semen."
3,Subclass,111141,11114,"Sheep, lambs and goats",,"This subclass comprises live sheep, lambs and goats."
4,Detail,1111411,111141,Sheep and lambs,,Live sheep and lambs.
4,Detail,1111412,111141,Goats,,Live goats.
3,Subclass,111142,11114,Fur-bearing animals,,This subclass comprises live fur-bearing animals.
4,Detail,1111421,111142,Fur-bearing animals,,Live fur-bearing animals.
3,Subclass,111143,11114,Other miscellaneous live animals,,"This subclass comprises other live animals for meat and for hair; pets and laboratory animals; bees and pollinating insects; other live animals, n.e.c.; semen; and animal embryos."
4,Detail,1111431,111143,Other live animals for meat and for hair,,Other live animals for meat and for hair.
4,Detail,1111432,111143,Pets and laboratory animals,,Live pets and laboratory animals.
4,Detail,1111433,111143,Bees and pollinating insects,,Live bees and pollinating insects.
4,Detail,1111434,111143,"Other live animals, n.e.c.",,"Other live animals, n.e.c."
4,Detail,1111435,111143,Semen,,"Live semen, frozen or fresh."
4,Detail,1111436,111143,Animal embryos,,"Live animal embryos, frozen or fresh."
1,Group,112,,Wheat,,This group comprises all the varieties of unmilled wheat.
2,Class,11211,112,Wheat,,This class comprises all the varieties of unmilled wheat.
3,Subclass,112111,11211,Wheat,,This subclass comprises all the varieties of unmilled wheat.
4,Detail,1121111,112111,Wheat (except durum wheat),,"All the varieties of unmilled wheat, except durum wheat."
4,Detail,1121112,112111,Durum wheat,,Unmilled durum wheat.
1,Group,113,,Canola (including rapeseed),,This group comprises canola and rapeseed.
2,Class,11311,113,Canola (including rapeseed),,This class comprises canola and rapeseed.
3,Subclass,113111,11311,Canola (including rapeseed),,This subclass comprises canola and rapeseed.
4,Detail,1131111,113111,Canola,,"Canola, except rapeseed."
4,Detail,1131112,113111,Rapeseed (except canola),,"Rapeseed, except canola."
1,Group,114,,"Fresh fruit, nuts and vegetables, and pulse crops",,"This group comprises fresh fruit, nuts, and vegetables, and pulse crops."
2,Class,11411,114,Fresh fruit and nuts,,This class comprises fresh fruit and nuts.
3,Subclass,114111,11411,Fresh berries,,This subclass comprises fresh berries.
4,Detail,1141111,114111,Fresh strawberries,,Fresh strawberries.
4,Detail,1141112,114111,Fresh raspberries,,Fresh raspberries.
4,Detail,1141113,114111,Fresh cranberries,,Fresh cranberries.
4,Detail,1141114,114111,Fresh blueberries,,Fresh blueberries.
4,Detail,1141115,114111,Other fresh berries,,Other fresh berries.
3,Subclass,114112,11411,Fresh citrus fruit,,This subclass comprises fresh citrus fruit.
4,Detail,1141121,114112,Fresh oranges,,Fresh oranges.
4,Detail,1141122,114112,Other fresh citrus fruit,,Other fresh citrus fruit.
3,Subclass,114113,11411,Fresh tropical and semitropical fruit (except citrus fruit),,"This subclass comprises fresh tropical and semitropical fruit, except citrus fruit."
