Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
1,Group (three-digit standard codes or four-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à quatre caractères alphanumériques),111,,Live animals,Animaux vivants,"This group comprises live animals, live insects and live semen.",Ce groupe comprend les animaux et les insectes vivants et le sperme vivant.
2,Class (five-digit standard codes or six-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six caractères alphanumériques),11111,111,Cattle and calves,Bovins et veaux,"This class comprises live beef and dairy cattle, and live calves.","Cette classe comprend les bovins de boucherie et les bovins laitiers vivants, et les veaux vivants."
3,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),111111,11111,Cattle and calves,Bovins et veaux,"This subclass comprises live beef and dairy cattle, and live calves.","Cette sous-classe comprend les bovins de boucherie et les bovins laitiers vivants, et les veaux vivants."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1111111,111111,Cattle,Bovins,"Live beef and dairy cattle, 1 year and over.","Bovins de boucherie et bovins laitiers vivants, d'un an et plus."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111111,1111111,Cattle for slaughter,Bovins pour l'abattage,"Live beef and dairy cattle, 1 year and over, for slaughter.","Bovins de boucherie et bovins laitiers vivants, un an et plus, pour l'abattage."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111111,11111111,Cows for slaughter,Vaches pour l'abattage,"Live cows, 1 year and over, for slaughter.","Vaches vivantes, un an et plus, pour l'abattage."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111112,11111111,Bulls for slaughter,Taureaux pour l'abattage,"Live bulls, 1 year and over, for slaughter.","Taureaux vivants, un an et plus, pour l'abattage."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111113,11111111,Steers for slaughter,Bouvillons pour l'abattage,"Live steers, 1 year and over, for slaughter.","Bouvillons vivants, un an et plus, pour l'abattage."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111114,11111111,Heifers for slaughter,Génisses pour l'abattage,"Live heifers, 1 year and over, for slaughter.","Génisses vivantes, un an et plus, pour l'abattage."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11111112,1111111,Cattle for feeding,Bovins pour l'engraissement,"Live beef and dairy cattle, 1 year and over, for feeding.","Bovins de boucherie et bovins laitiers vivants, un an et plus, pour l'engraissement."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111121,11111112,Steers for feeding,Bouvillons pour l'engraissement,"Live steers, 1 year and over, for feeding.","Bouvillons vivants, un an et plus, pour l'engraissement."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111122,11111112,Heifers for feeding,Génisses pour l'engraissement,"Live heifers, 1 year and over, for feeding.","Génisses vivantes, un an et plus, pour l'engraissement."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),111111123,11111112,Other cattle for feeding,Autres bovins pour l'engraissement,"Other live beef and dairy cattle, 1 year and over, for feeding.","Autres bovins de boucherie et bovins laitiers vivants, un an et plus, pour l'engraissement."
