Level,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
1,Section (three-character alphanumeric variant codes),Section (codes de variante à trois caractères alphanumériques),A11,,Grains,Grains,"This section comprises all the varieties of unmilled wheat; unmilled corn for grain; unmilled oats, hulless and unhulled; unmilled barley, hulless and unhulled; and umilled rye.","Cette section comprend toutes les variétés de blé non moulu; le maïs-grain non moulu; l'avoine non moulue, à grains nus ou non mondée; l'orge non moulu, à grains nus ou non mondé; et le seigle non moulu."
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),112,A11,Wheat,Blé,This group comprises all the varieties of unmilled wheat.,Ce groupe comprend toutes les variétés de blé non moulu.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11211,112,Wheat,Blé,This class comprises all the varieties of unmilled wheat.,Cette classe comprend toutes les variétés de blé non moulu.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),112111,11211,Wheat,Blé,This subclass comprises all the varieties of unmilled wheat.,Cette sous-classe comprend toutes les variétés de blé non moulu.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1121111,112111,Wheat (except durum wheat),Blé (sauf le blé dur),"All the varieties of unmilled wheat, except durum wheat.","Toutes les variétés de blé non moulu, sauf le blé dur."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11211111,1121111,Spring wheat (except durum wheat),Blé de printemps (sauf le blé dur),"Unmilled spring wheat, except durum wheat.","Blé de printemps non moulu, sauf le blé dur."
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11211112,1121111,Winter wheat,Blé d'hiver,Unmilled winter wheat.,Blé d'hiver non moulu.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1121112,112111,Durum wheat,Blé dur,Unmilled durum wheat.,Blé dur non moulu.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11211121,1121112,Durum wheat,Blé dur,Unmilled durum wheat.,Blé dur non moulu.
2,Group (three-digit standard codes or five-character alphanumeric variant codes),Groupe (codes types à trois chiffres ou codes de variante à cinq caractères alphanumériques),115AA,A11,"Corn for grain, oats, barley and rye","Maïs-grain, avoine, orge et seigle","This group comprises unmilled corn for grain; unmilled oats, hulless and unhulled; unmilled barley, hulless and unhulled; and umilled rye.","Ce groupe comprend le maïs-grain non moulu; l'avoine non moulue, à grains nus ou non mondée; l'orge non moulu, à grains nus ou non mondé; et le seigle non moulu."
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11511AA,115AA,"Corn for grain, oats, barley and rye","Maïs-grain, avoine, orge et seigle","This class comprises unmilled corn for grain; unmilled oats, hulless and unhulled; unmilled barley, hulless and unhulled; and umilled rye.","Cette classe comprend le maïs-grain non moulu; l'avoine non moulue, à grains nus ou non mondée; l'orge non moulu, à grains nus ou non mondé; et le seigle non moulu."
