Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
1,Section (three-digit alpha numeric codes),Section (codes à trois caractères alpha numériques),C11,,"Farm, fishing and intermediate food products",Produits agricoles et de la pêche et produits intermédiaires des aliments,,
2,Division (four-digit alpha numeric codes),Division (codes à quatre caractères alpha numériques),C111,C11,Farm and fishing products,Produits agricoles et de la pêche,,
3,Group (three-digit codes),Groupe (codes à trois chiffres),111,C111,Live animals,Animaux vivants,"This group comprises live animals, live insects and live semen.",Ce groupe comprend les animaux et les insectes vivants et le sperme vivant.
4,Class (five-digit codes),Classe (codes à cinq chiffres),11111,111,Cattle and calves,Bovins et veaux,"This class comprises live beef and dairy cattle, and live calves.","Cette classe comprend les bovins de boucherie et les bovins laitiers vivants, et les veaux vivants."
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),111111,11111,Cattle and calves,Bovins et veaux,"This subclass comprises live beef and dairy cattle, and live calves.","Cette sous-classe comprend les bovins de boucherie et les bovins laitiers vivants, et les veaux vivants."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111111,111111,Cattle,Bovins,"Live beef and dairy cattle, 1 year and over.","Bovins de boucherie et bovins laitiers vivants, d'un an et plus."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111112,111111,Calves,Veaux,"Live calves, under 1 year.","Veaux vivants, de moins d'un an."
4,Class (five-digit codes),Classe (codes à cinq chiffres),11112,111,Hogs,Porcs,This class comprises live porcine animals.,Cette classe comprend les porcins vivants.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),111121,11112,Hogs,Porcs,This subclass comprises live porcine animals.,Cette sous-classe comprend les porcins vivants.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111211,111121,Hogs for breeding,Porcs pour la reproduction,Live porcine animals raised for breeding.,Porcins vivants élevés pour la reproduction.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111212,111121,Nursing and weaner hogs,Porcelets allaités et sevrés,"Live young pigs and piglets, weaned and unweaned, raised for meat production.","Jeunes porcs et porcelets vivants, sevrés et non sevrés, élevés pour la production de viande."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111213,111121,Market hogs,Porcs de marché,"Live porcine animals 23 kg and over, raised for meat production.","Porcins vivants, 23 kg et plus, élevés pour la production de viande."
4,Class (five-digit codes),Classe (codes à cinq chiffres),11113,111,Poultry,Volailles,This class comprises live poultry.,Cette classe comprend les volailles vivantes.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),111131,11113,Chickens,Poulets,This subclass comprises live chickens.,Cette sous-classe comprend les poulets vivants.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111311,111131,Chickens for breeding,Poulets pour la reproduction,Live chickens raised for breeding.,Poulets vivants élevés pour la reproduction.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111312,111131,Hens and pullets for laying eggs,Poules et poulettes pour la ponte,Live hens and pullets raised for egg production.,Poules et poulettes vivantes élevées pour la production d'oeufs.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111313,111131,Chickens for meat,Poulets pour la viande,Live chickens raised for meat production.,Poulets vivants élevés pour la production de viande.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),111132,11113,Turkeys,Dindes et dindons,This subclass comprises live turkeys.,Cette sous-classe comprend les dindes et les dindons vivants.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111321,111132,Turkeys for breeding,Dindes et dindons pour la reproduction,Live turkeys raised for breeding.,Dindes et dindons vivants élevés pour la reproduction.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1111322,111132,Turkeys for meat,Dindes et dindons pour la viande,Live turkeys raised for meat production.,Dindes et dindons vivants élevés pour la production de viande.
