Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
1,Section (three-character alphanumeric codes),Section (codes à trois caractères alphanumériques),M11,,Crop products,Produits végétaux,This section comprises crop products.,Cette section comprends les produits végétaux.
2,Group (three-digit standard codes and four-character alphanumeric codes),Groupe (codes types à trois chiffres,112,M11,Wheat,Blé,This group comprises all the varieties of unmilled wheat.,Ce groupe comprend toutes les variétés de blé non moulu.
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11211,112,Wheat,Blé,This class comprises all the varieties of unmilled wheat.,Cette classe comprend toutes les variétés de blé non moulu.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),112111,11211,Wheat,Blé,This subclass comprises all the varieties of unmilled wheat.,Cette sous-classe comprend toutes les variétés de blé non moulu.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1121111,112111,Wheat (except durum wheat),Blé (sauf le blé dur),"All the varieties of unmilled wheat, except durum wheat.","Toutes les variétés de blé non moulu, sauf le blé dur."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1121112,112111,Durum wheat,Blé dur,Unmilled durum wheat.,Blé dur non moulu.
2,Group (three-digit standard codes and four-character alphanumeric codes),Groupe (codes types à trois chiffres,113,M11,Canola (including rapeseed),Canola (y compris le colza),This group comprises canola and rapeseed.,Ce groupe comprend le canola et le colza.
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11311,113,Canola (including rapeseed),Canola (y compris le colza),This class comprises canola and rapeseed.,Cette classe comprend le canola et le colza.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),113111,11311,Canola (including rapeseed),Canola (y compris le colza),This subclass comprises canola and rapeseed.,Cette sous-classe comprend le canola et le colza.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1131111,113111,Canola,Canola,"Canola, except rapeseed.","Canola, sauf le colza."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1131112,113111,Rapeseed (except canola),Colza (sauf le canola),"Rapeseed, except canola.","Colza, sauf le canola."
2,Group (three-digit standard codes and four-character alphanumeric codes),Groupe (codes types à trois chiffres,114,M11,"Fresh fruit, nuts and vegetables, and pulse crops","Fruits, noix et légumes frais, et légumineuses de culture","This group comprises fresh fruit, nuts, and vegetables, and pulse crops.","Ce groupe comprend les fruits, noix et légumes frais, et les légumineuses de culture."
3,Class (five-digit standard codes and six-character alphanumeric codes),Classe (codes types à cinq chiffres,11411,114,Fresh fruit and nuts,Fruits et noix frais,This class comprises fresh fruit and nuts.,Cette classe comprend les fruits frais et les noix.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114111,11411,Fresh berries,Baies fraîches,This subclass comprises fresh berries.,Cette sous-classe comprend les baies fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141111,114111,Fresh strawberries,Fraises fraîches,Fresh strawberries.,Fraises fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141112,114111,Fresh raspberries,Framboises fraîches,Fresh raspberries.,Framboises fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141113,114111,Fresh cranberries,Canneberges fraîches,Fresh cranberries.,Canneberges fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141114,114111,Fresh blueberries,Bleuets frais,Fresh blueberries.,Bleuets frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141115,114111,Other fresh berries,Autres baies fraîches,Other fresh berries.,Autres baies fraîches.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114112,11411,Fresh citrus fruit,Agrumes frais,This subclass comprises fresh citrus fruit.,Cette sous-classe comprend les agrumes frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141121,114112,Fresh oranges,Oranges fraîches,Fresh oranges.,Oranges fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141122,114112,Other fresh citrus fruit,Autres agrumes frais,Other fresh citrus fruit.,Autres agrumes frais.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114113,11411,Fresh tropical and semitropical fruit (except citrus fruit),Fruits tropicaux et semi-tropicaux frais (sauf les agrumes),"This subclass comprises fresh tropical and semitropical fruit, except citrus fruit.","Cette sous-classe comprend les fruits tropicaux et semi-tropicaux frais, sauf les agrumes."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141131,114113,Fresh bananas,Bananes fraîches,Fresh bananas.,Bananes fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141132,114113,Fresh pineapples,Ananas frais,Fresh pineapples.,Ananas frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141133,114113,Fresh olives,Olives fraîches,Fresh olives.,Olives fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141134,114113,Other fresh tropical and semitropical fruit,Autres fruits tropicaux et semi-tropicaux frais,Other fresh tropical and semitropical fruit.,Autres fruits tropicaux et semi-tropicaux frais.
4,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),114114,11411,Other fresh fruit,Autres fruits frais,This subclass comprises fresh fruit n.e.c.,Cette sous-classe comprend les fruits frais n.c.a.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141141,114114,Fresh apples,Pommes fraîches,Fresh apples.,Pommes fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141142,114114,Fresh pears,Poires fraîches,Fresh pears.,Poires fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141143,114114,Fresh plums and prune plums,Prunes et prunes à pruneaux fraîches,Fresh plums and prune plums.,Prunes et prunes à pruneaux fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141144,114114,"Fresh peaches, nectarines and apricots","Pêches, nectarines et abricots frais","Fresh peaches, nectarines and apricots.","Pêches, nectarines et abricots frais."
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141145,114114,Fresh cherries,Cerises fraîches,Fresh cherries.,Cerises fraîches.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141146,114114,Other fresh pome and stone fruit,Autres fruits à pépins et à noyau frais,Other fresh pome and stone fruit.,Autres fruits à pépins et à noyau frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141147,114114,Fresh grapes,Raisins frais,Fresh grapes.,Raisins frais.
5,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),1141148,114114,"Other fresh fruit, n.e.c.","Autres fruits frais, n.c.a.","Other fresh fruit, n.e.c.","Autres fruits frais, n.c.a."
