pid,table_title,comparator_sector,comparator_domain,scope,data_role,current_status,priority,notes
14100189,"Average hourly earnings and average weekly hours of employees paid by the hour, (SEPH), monthly",Unknown,Unknown,National,environment_indicator,unknown_until_refresh_checked,Review,First-pass automated mapping; review manually.
14100306,14100306,Unknown,Unknown,National,environment_indicator,unknown_until_refresh_checked,Review,First-pass automated mapping; review manually.
17100060,"Estimates of population as of July 1st, by marital status or legal marital status, age and sex",Human / Consumer,Demographics,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
17100061,Estimates of the number of census families as of July 1st,Unknown,Unknown,National,environment_indicator,unknown_until_refresh_checked,Review,First-pass automated mapping; review manually.
17100068,"Historical statistics, urban and rural population",Human / Consumer,Demographics,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
17100069,"Historical statistics, population in incorporated centres, by size groups",Human / Consumer,Demographics,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
18100005,"Consumer Price Index, annual average, not seasonally adjusted",Market / Exchange,Prices / Inflation,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
22100106,"Average expenditure on goods and services ordered over the Internet by age group, inactive",Unknown,Unknown,National,environment_indicator,unknown_until_refresh_checked,Review,First-pass automated mapping; review manually.
33100395,33100395,Unknown,Unknown,National,environment_indicator,unknown_until_refresh_checked,Review,First-pass automated mapping; review manually.
33100396,33100396,Unknown,Unknown,National,environment_indicator,unknown_until_refresh_checked,Review,First-pass automated mapping; review manually.
33100397,33100397,Unknown,Unknown,National,environment_indicator,unknown_until_refresh_checked,Review,First-pass automated mapping; review manually.
37100182,"Postsecondary enrolments, by detailed field of study and International Standard Classification of Education",Human / Consumer,Education,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
37100183,"Postsecondary graduates, by detailed field of study and International Standard Classification of Education",Human / Consumer,Education / Labour Outcomes,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
37100184,"Postsecondary enrolments, by status of student in Canada, country of citizenship and Classification of Instructional Programs, STEM and BHASE groupings",Unknown,Unknown,National,environment_indicator,unknown_until_refresh_checked,Review,First-pass automated mapping; review manually.
37100185,"Postsecondary graduates, by status of student in Canada, country of citizenship and Classification of Instructional Programs, STEM and BHASE groupings",Human / Consumer,Education / Labour Outcomes,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
37100188,"National Graduates Survey (NGS), labour market outcomes of postsecondary graduates at time of interview, by province of study, level of study, field of study, sex and work-integrated learning (WIL) participation",Human / Consumer,Work / Labour Market,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
37100189,"National Graduates Survey (NGS), labour market outcomes of postsecondary graduates at time of interview, by province of residence at interview, level of study, field of study, sex and work-integrated learning (WIL) participation",Human / Consumer,Work / Labour Market,National,environment_indicator,unknown_until_refresh_checked,Medium,First-pass automated mapping; review manually.
