pid,zip_name,status,table_title,subject,survey,frequency,rows_imported,dimension_count,geo_count,uom_list,min_ref_date,max_ref_date,observation_output,error_message
14100189,14100189-eng.zip,success,"Average hourly earnings and average weekly hours of employees paid by the hour, (SEPH), monthly",,,,100000,4,13,Current dollars | Hours,1983-01,1983-11,normalized\statcan_observations_14100189.parquet,
14100306,14100306-eng.zip,success,14100306,,,,100000,5,11,Current dollars | Persons,1997-01,1997-01,normalized\statcan_observations_14100306.parquet,
17100060,17100060-eng.zip,success,"Estimates of population as of July 1st, by marital status or legal marital status, age and sex",,,,100000,3,13,Persons,1971,1975,normalized\statcan_observations_17100060.parquet,
17100061,17100061-eng.zip,success,Estimates of the number of census families as of July 1st,,,,630,1,14,Families,2006,2020,normalized\statcan_observations_17100061.parquet,
17100068,17100068-eng.zip,success,"Historical statistics, urban and rural population",,,,33,1,1,Persons,1871,1971,normalized\statcan_observations_17100068.parquet,
17100069,17100069-eng.zip,success,"Historical statistics, population in incorporated centres, by size groups",,,,51,1,1,Persons,1871,1971,normalized\statcan_observations_17100069.parquet,
18100005,18100005-eng.zip,success,"Consumer Price Index, annual average, not seasonally adjusted",,,,84274,1,30,1992=100 | 200212=100 | 2002=100 | 200704=100 | 201104=100 | 2013=100 | 2017=100 | 201812=100,1914,2020,normalized\statcan_observations_18100005.parquet,
22100106,22100106-eng.zip,success,"Average expenditure on goods and services ordered over the Internet by age group, inactive",,,,30,2,1,Dollars,2018,2018,normalized\statcan_observations_22100106.parquet,
33100395,33100395-eng.zip,success,33100395,,,,84927,2,14,Number,2021-01,2021-01,normalized\statcan_observations_33100395.parquet,
33100396,33100396-eng.zip,success,33100396,,,,14291,1,14,Number,2021-01,2021-01,normalized\statcan_observations_33100396.parquet,
33100397,33100397-eng.zip,success,33100397,,,,100000,2,153,Number,2021-01,2021-01,normalized\statcan_observations_33100397.parquet,
37100182,37100182-eng.zip,success,"Postsecondary enrolments, by detailed field of study and International Standard Classification of Education",,,,100000,6,6,Number,2010/2011,2010/2011,normalized\statcan_observations_37100182.parquet,
37100183,37100183-eng.zip,success,"Postsecondary graduates, by detailed field of study and International Standard Classification of Education",,,,100000,4,12,Number,2010,2011,normalized\statcan_observations_37100183.parquet,
37100184,37100184-eng.zip,success,"Postsecondary enrolments, by status of student in Canada, country of citizenship and Classification of Instructional Programs, STEM and BHASE groupings",,,,100000,7,1,Number,2010/2011,2010/2011,normalized\statcan_observations_37100184.parquet,
37100185,37100185-eng.zip,success,"Postsecondary graduates, by status of student in Canada, country of citizenship and Classification of Instructional Programs, STEM and BHASE groupings",,,,100000,6,1,Number,2010,2010,normalized\statcan_observations_37100185.parquet,
37100188,37100188-eng.zip,success,"National Graduates Survey (NGS), labour market outcomes of postsecondary graduates at time of interview, by province of study, level of study, field of study, sex and work-integrated learning (WIL) participation",,,,100000,5,10,Dollars | Number | Percent | Rate,2015,2015,normalized\statcan_observations_37100188.parquet,
37100189,37100189-eng.zip,success,"National Graduates Survey (NGS), labour market outcomes of postsecondary graduates at time of interview, by province of residence at interview, level of study, field of study, sex and work-integrated learning (WIL) participation",,,,100000,5,10,Dollars | Number | Percent | Rate,2015,2015,normalized\statcan_observations_37100189.parquet,
