pid,language,zip_file,zip_name,member_name,member_size,is_csv,is_metadata,column_count,columns,row_count,status,error_message
14100189,eng,raw_old\14100189-eng.zip,14100189-eng.zip,14100189.csv,428961842,True,False,18,"REF_DATE | GEO | DGUID | Overtime | Estimates | Standard Industrial Classification, 1980 (SIC) | Seasonal adjustment | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS",,ok,
14100189,eng,raw_old\14100189-eng.zip,14100189-eng.zip,14100189_MetaData.csv,18716,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
14100306,eng,raw_old\14100306-eng.zip,14100306-eng.zip,14100306.csv,8024290006,True,False,19,REF_DATE | GEO | DGUID | Wages | Type of work | National Occupational Classification (NOC) | Sex | Age group | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
14100306,eng,raw_old\14100306-eng.zip,14100306-eng.zip,14100306_MetaData.csv,9060,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
17100060,eng,raw_old\17100060-eng.zip,17100060-eng.zip,17100060.csv,396294738,True,False,17,REF_DATE | GEO | DGUID | Marital status | Sex | Age group | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
17100060,eng,raw_old\17100060-eng.zip,17100060-eng.zip,17100060_MetaData.csv,10214,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
17100061,eng,raw_old\17100061-eng.zip,17100061-eng.zip,17100061.csv,79899,True,False,15,REF_DATE | GEO | DGUID | Family | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
17100061,eng,raw_old\17100061-eng.zip,17100061-eng.zip,17100061_MetaData.csv,3301,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
17100068,eng,raw_old\17100068-eng.zip,17100068-eng.zip,17100068.csv,3693,True,False,15,REF_DATE | GEO | DGUID | Population | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
17100068,eng,raw_old\17100068-eng.zip,17100068-eng.zip,17100068_MetaData.csv,1693,True,True,10,Cube Title | Product Id | CANSIM Id | URL | Cube Notes | Archive Status | Frequency | Start Reference Period | End Reference Period | Total number of dimensions,,ok,
17100069,eng,raw_old\17100069-eng.zip,17100069-eng.zip,17100069.csv,7495,True,False,15,REF_DATE | GEO | DGUID | Population | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,,ok,
