node_id,parent_id,label,type,sector,sort,priority_rank,description,meta,source_uid
home,,Economy Home,orientation,Home,0,,,,
human,home,Human / Consumer,sector-link,Human / Consumer,1,,,,
market,home,Market / Exchange,sector-link,Market / Exchange,2,,,,
business,home,Business / Commercial,sector-link,Business / Commercial,3,,,,
finance_sector,home,Finance / Capital,sector-link,Finance / Capital,4,,,,
government,home,Public / Government,sector-link,Public / Government,5,,,,
human_needs,human,LIST USER WANTS / NEEDS — SURVIVAL PRIORITY TREE,priority-root,Human / Consumer,1,,Most important survival needs at top; least important wants at bottom.,,
need_air,human_needs,01. Air / Breathable Environment,need-domain,Human / Consumer,1,01,"Immediate survival; atmosphere, ventilation, smoke/gas avoidance.",priority need,
need_air_smoke_fire_air_risk,need_air,Smoke / Fire Air Risk,need-fulfillment-class,Human / Consumer,1,01,,fulfillment path,
need_air_ventilation,need_air,Ventilation,need-fulfillment-class,Human / Consumer,2,01,,fulfillment path,
need_air_respiratory_protection,need_air,Respiratory Protection,need-fulfillment-class,Human / Consumer,3,01,,fulfillment path,
need_air_gas_detection,need_air,Gas Detection,need-fulfillment-class,Human / Consumer,4,01,,fulfillment path,
need_air_air_filtration,need_air,Air Filtration,need-fulfillment-class,Human / Consumer,5,01,,fulfillment path,
need_water,human_needs,02. Water / Hydration,need-domain,Human / Consumer,2,02,"Drinkable water, storage, filtration, access, sanitation water.",priority need,
need_water_drinking_water,need_water,Drinking Water,need-fulfillment-class,Human / Consumer,1,02,,fulfillment path,
need_water_water_storage,need_water,Water Storage,need-fulfillment-class,Human / Consumer,2,02,,fulfillment path,
need_water_water_filtration,need_water,Water Filtration,need-fulfillment-class,Human / Consumer,3,02,,fulfillment path,
need_water_pumps_hoses_fittings,need_water,Pumps / Hoses / Fittings,need-fulfillment-class,Human / Consumer,4,02,,fulfillment path,
need_water_hot_water,need_water,Hot Water,need-fulfillment-class,Human / Consumer,5,02,,fulfillment path,
need_food,human_needs,03. Food / Nutrition / Survival,need-domain,Human / Consumer,3,03,"Calories, nutrition, shelf-stable food, cooking, preservation.",priority need,
need_food_survival_food,need_food,Survival Food,need-fulfillment-class,Human / Consumer,1,03,,fulfillment path,
need_food_grocery_products,need_food,Grocery Products,need-fulfillment-class,Human / Consumer,2,03,,fulfillment path,
need_food_prepared_food,need_food,Prepared Food,need-fulfillment-class,Human / Consumer,3,03,,fulfillment path,
need_food_food_storage_preservation,need_food,Food Storage / Preservation,need-fulfillment-class,Human / Consumer,4,03,,fulfillment path,
need_food_cooking_equipment,need_food,Cooking Equipment,need-fulfillment-class,Human / Consumer,5,03,,fulfillment path,
need_food_nutrition_requirements,need_food,Nutrition Requirements,need-fulfillment-class,Human / Consumer,6,03,,fulfillment path,
need_shelter,human_needs,04. Shelter / Housing / Weather Protection,need-domain,Human / Consumer,4,04,"Protection from exposure, housing, rent, ownership, emergency shelter.",priority need,
need_shelter_emergency_shelter,need_shelter,Emergency Shelter,need-fulfillment-class,Human / Consumer,1,04,,fulfillment path,
need_shelter_rent,need_shelter,Rent,need-fulfillment-class,Human / Consumer,2,04,,fulfillment path,
need_shelter_ownership,need_shelter,Ownership,need-fulfillment-class,Human / Consumer,3,04,,fulfillment path,
need_shelter_utilities,need_shelter,Utilities,need-fulfillment-class,Human / Consumer,4,04,,fulfillment path,
need_shelter_building_envelope,need_shelter,Building Envelope,need-fulfillment-class,Human / Consumer,5,04,,fulfillment path,
need_shelter_windows_doors,need_shelter,Windows / Doors,need-fulfillment-class,Human / Consumer,6,04,,fulfillment path,
need_shelter_hvac,need_shelter,HVAC,need-fulfillment-class,Human / Consumer,7,04,,fulfillment path,
need_shelter_furnishings,need_shelter,Furnishings,need-fulfillment-class,Human / Consumer,8,04,,fulfillment path,
need_thermal,human_needs,05. Heat / Thermal Protection / Clothing,need-domain,Human / Consumer,5,05,"Body temperature, clothing, insulation, blankets, winterization.",priority need,
need_thermal_clothing,need_thermal,Clothing,need-fulfillment-class,Human / Consumer,1,05,,fulfillment path,
need_thermal_work_wear,need_thermal,Work Wear,need-fulfillment-class,Human / Consumer,2,05,,fulfillment path,
need_thermal_blankets_bedding,need_thermal,Blankets / Bedding,need-fulfillment-class,Human / Consumer,3,05,,fulfillment path,
need_thermal_insulation,need_thermal,Insulation,need-fulfillment-class,Human / Consumer,4,05,,fulfillment path,
need_thermal_heating_systems,need_thermal,Heating Systems,need-fulfillment-class,Human / Consumer,5,05,,fulfillment path,
need_thermal_cold_weather_gear,need_thermal,Cold Weather Gear,need-fulfillment-class,Human / Consumer,6,05,,fulfillment path,
need_safety,human_needs,06. Safety / Security / Emergency,need-domain,Human / Consumer,6,06,"Personal safety, fire, detection, PPE, emergency response, security.",priority need,
need_safety_personal_safety,need_safety,Personal Safety,need-fulfillment-class,Human / Consumer,1,06,,fulfillment path,
need_safety_fire_protection,need_safety,Fire Protection,need-fulfillment-class,Human / Consumer,2,06,,fulfillment path,
need_safety_first_aid,need_safety,First Aid,need-fulfillment-class,Human / Consumer,3,06,,fulfillment path,
need_safety_ppe,need_safety,PPE,need-fulfillment-class,Human / Consumer,4,06,,fulfillment path,
need_safety_security_storage,need_safety,Security Storage,need-fulfillment-class,Human / Consumer,5,06,,fulfillment path,
need_safety_vehicle_safety,need_safety,Vehicle Safety,need-fulfillment-class,Human / Consumer,6,06,,fulfillment path,
need_safety_emergency_planning,need_safety,Emergency Planning,need-fulfillment-class,Human / Consumer,7,06,,fulfillment path,
need_health,human_needs,07. Health / Medical / Hygiene,need-domain,Human / Consumer,7,07,"Medical care, first aid, hygiene, medication management, prevention.",priority need,
need_health_medical_care,need_health,Medical Care,need-fulfillment-class,Human / Consumer,1,07,,fulfillment path,
need_health_first_aid_products,need_health,First Aid Products,need-fulfillment-class,Human / Consumer,2,07,,fulfillment path,
need_health_hygiene,need_health,Hygiene,need-fulfillment-class,Human / Consumer,3,07,,fulfillment path,
need_health_fitness_mobility,need_health,Fitness / Mobility,need-fulfillment-class,Human / Consumer,4,07,,fulfillment path,
need_health_health_insurance,need_health,Health Insurance,need-fulfillment-class,Human / Consumer,5,07,,fulfillment path,
need_health_medication_supplies,need_health,Medication / Supplies,need-fulfillment-class,Human / Consumer,6,07,,fulfillment path,
need_sanitation,human_needs,08. Sanitation / Waste / Cleaning,need-domain,Human / Consumer,8,08,"Waste handling, toilets, cleaning, pests, contamination control.",priority need,
need_sanitation_toilets_waste,need_sanitation,Toilets / Waste,need-fulfillment-class,Human / Consumer,1,08,,fulfillment path,
need_sanitation_cleaning_supplies,need_sanitation,Cleaning Supplies,need-fulfillment-class,Human / Consumer,2,08,,fulfillment path,
need_sanitation_janitorial,need_sanitation,Janitorial,need-fulfillment-class,Human / Consumer,3,08,,fulfillment path,
need_sanitation_pest_control,need_sanitation,Pest Control,need-fulfillment-class,Human / Consumer,4,08,,fulfillment path,
need_sanitation_laundry,need_sanitation,Laundry,need-fulfillment-class,Human / Consumer,5,08,,fulfillment path,
need_sanitation_sewage_septic,need_sanitation,Sewage / Septic,need-fulfillment-class,Human / Consumer,6,08,,fulfillment path,
need_energy,human_needs,09. Energy / Power / Fuel,need-domain,Human / Consumer,9,09,"Heat, electricity, fuel, batteries, cooking energy, backup power.",priority need,
need_energy_electricity,need_energy,Electricity,need-fulfillment-class,Human / Consumer,1,09,,fulfillment path,
need_energy_batteries,need_energy,Batteries,need-fulfillment-class,Human / Consumer,2,09,,fulfillment path,
need_energy_generators,need_energy,Generators,need-fulfillment-class,Human / Consumer,3,09,,fulfillment path,
need_energy_fuel,need_energy,Fuel,need-fulfillment-class,Human / Consumer,4,09,,fulfillment path,
need_energy_solar_backup_power,need_energy,Solar / Backup Power,need-fulfillment-class,Human / Consumer,5,09,,fulfillment path,
need_energy_energy_efficient_appliances,need_energy,Energy-Efficient Appliances,need-fulfillment-class,Human / Consumer,6,09,,fulfillment path,
need_transport,human_needs,10. Transportation / Mobility,need-domain,Human / Consumer,10,10,"Vehicle, transit, fuel, maintenance, parts, mobility access.",priority need,
need_transport_passenger_vehicles,need_transport,Passenger Vehicles,need-fulfillment-class,Human / Consumer,1,10,,fulfillment path,
need_transport_auto_parts_fitment,need_transport,Auto Parts / Fitment,need-fulfillment-class,Human / Consumer,2,10,,fulfillment path,
need_transport_tires_tracks,need_transport,Tires / Tracks,need-fulfillment-class,Human / Consumer,3,10,,fulfillment path,
need_transport_vehicle_electrical,need_transport,Vehicle Electrical,need-fulfillment-class,Human / Consumer,4,10,,fulfillment path,
need_transport_marine_vehicles,need_transport,Marine Vehicles,need-fulfillment-class,Human / Consumer,5,10,,fulfillment path,
need_transport_transit_mobility,need_transport,Transit / Mobility,need-fulfillment-class,Human / Consumer,6,10,,fulfillment path,
need_communication,human_needs,11. Communication / Information / Records,need-domain,Human / Consumer,11,11,"Phone, internet, radio, identity records, documentation, alerts.",priority need,
need_communication_cell_phones,need_communication,Cell Phones,need-fulfillment-class,Human / Consumer,1,11,,fulfillment path,
need_communication_internet,need_communication,Internet,need-fulfillment-class,Human / Consumer,2,11,,fulfillment path,
need_communication_radio_shortwave_cb,need_communication,Radio / Shortwave / CB,need-fulfillment-class,Human / Consumer,3,11,,fulfillment path,
need_communication_documents_identity,need_communication,Documents / Identity,need-fulfillment-class,Human / Consumer,4,11,,fulfillment path,
need_communication_data_storage,need_communication,Data Storage,need-fulfillment-class,Human / Consumer,5,11,,fulfillment path,
need_communication_alerts_news,need_communication,Alerts / News,need-fulfillment-class,Human / Consumer,6,11,,fulfillment path,
need_income,human_needs,12. Income / Work / Economic Activity,need-domain,Human / Consumer,12,12,"Employment, business, tools, productive assets, cash flow.",priority need,
need_income_employment,need_income,Employment,need-fulfillment-class,Human / Consumer,1,12,,fulfillment path,
need_income_business_model,need_income,Business Model,need-fulfillment-class,Human / Consumer,2,12,,fulfillment path,
need_income_tools_for_work,need_income,Tools for Work,need-fulfillment-class,Human / Consumer,3,12,,fulfillment path,
need_income_training_for_work,need_income,Training for Work,need-fulfillment-class,Human / Consumer,4,12,,fulfillment path,
need_income_business_benchmarks,need_income,Business Benchmarks,need-fulfillment-class,Human / Consumer,5,12,,fulfillment path,
need_income_customer_segments,need_income,Customer Segments,need-fulfillment-class,Human / Consumer,6,12,,fulfillment path,
need_community,human_needs,13. Family / Community / Care,need-domain,Human / Consumer,13,13,"Dependents, care networks, social support, household coordination.",priority need,
need_community_household_members,need_community,Household Members,need-fulfillment-class,Human / Consumer,1,13,,fulfillment path,
need_community_caregiving,need_community,Caregiving,need-fulfillment-class,Human / Consumer,2,13,,fulfillment path,
need_community_community_services,need_community,Community Services,need-fulfillment-class,Human / Consumer,3,13,,fulfillment path,
need_community_childcare,need_community,Childcare,need-fulfillment-class,Human / Consumer,4,13,,fulfillment path,
need_community_eldercare,need_community,Eldercare,need-fulfillment-class,Human / Consumer,5,13,,fulfillment path,
need_community_social_support,need_community,Social Support,need-fulfillment-class,Human / Consumer,6,13,,fulfillment path,
need_legal,human_needs,14. Legal / Rights / Public Services,need-domain,Human / Consumer,14,14,"Rights, permits, licenses, benefits, remedies, obligations.",priority need,
need_legal_rights_remedies,need_legal,Rights / Remedies,need-fulfillment-class,Human / Consumer,1,14,,fulfillment path,
need_legal_licenses_permits,need_legal,Licenses / Permits,need-fulfillment-class,Human / Consumer,2,14,,fulfillment path,
need_legal_taxes_benefits,need_legal,Taxes / Benefits,need-fulfillment-class,Human / Consumer,3,14,,fulfillment path,
need_legal_consumer_protection,need_legal,Consumer Protection,need-fulfillment-class,Human / Consumer,4,14,,fulfillment path,
need_legal_public_records,need_legal,Public Records,need-fulfillment-class,Human / Consumer,5,14,,fulfillment path,
need_legal_regulatory_compliance,need_legal,Regulatory Compliance,need-fulfillment-class,Human / Consumer,6,14,,fulfillment path,
need_education,human_needs,15. Education / Skills / Knowledge,need-domain,Human / Consumer,15,15,"Learning, credentials, skill-building, training, research.",priority need,
need_education_basic_education,need_education,Basic Education,need-fulfillment-class,Human / Consumer,1,15,,fulfillment path,
need_education_postsecondary,need_education,Postsecondary,need-fulfillment-class,Human / Consumer,2,15,,fulfillment path,
need_education_skills_training,need_education,Skills Training,need-fulfillment-class,Human / Consumer,3,15,,fulfillment path,
