record_id,record_type,need_id,need_rank,need_path,fulfillment_id,fulfillment_class,category_original,category_group_id,page_id,product_node_id,item_name,manufacturer,model_part_number,source_uid,source_vendor,source_record_id,source_url,record_status,availability,recall_class,risk_type,problem,recommended_action,last_updated,archived,catalog_year,historical_price_usd,currency,total_cost,fulfillment_score,value_score,need_match_score,survival_value,durability,risk,evidence_score,evidence,source_language
HC-62821,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers,product-category-need-air-gas-detection-appareils-menagers-e2359404,product-category-need-air-gas-detection-appareils-menagers-e2359404-page-001,product-hc-62821,Contrôles au gaz naturel et au propane White Rodgers Gen II Intellivent installés sur certains modèles de chauffe-eau au gaz naturel et au propane Giant et Gemco rappelés en raison d'un possible risque de fuite de monoxyde de carbone,,,SRC-HC-RECALLS,Sécurité des produits de consommation,62821,https://recalls-rappels.canada.ca/fr/avis-rappel/controles-au-gaz-naturel-et-au-propane-white-rodgers-gen-ii-intellivent-installes-sur,Current recall / safety evidence,Safety evidence only — current market availability not established,,,,,2021-09-13,False,,,,,,,90,100,,50,67,Health Canada recall / safety notice,French / bilingual source
HC-72610,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers,product-category-need-air-gas-detection-appareils-menagers-e2359404,product-category-need-air-gas-detection-appareils-menagers-e2359404-page-001,product-hc-72610,"Cuisinières à gaz ZLINE RG de 30 pouces, 36 pouces et 48 pouces",,,SRC-HC-RECALLS,Sécurité des produits de consommation,72610,https://recalls-rappels.canada.ca/fr/avis-rappel/cuisinieres-gaz-zline-rg-30-pouces-36-pouces-et-48-pouces-rappelees-en-raison-risque,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque de blessure,Risque de blessure,"Les consommateurs devraient cesser immédiatement d’utiliser le four des cuisinières rappelées, jusqu’à ce qu’il soit réparé. Les consommateurs peuvent continuer à utiliser les ronds de la cuisinière, puisque ceux-ci ne sont pas touchés par le problème. Les consommateurs peuvent communiquer avec ZLINE pour planifier une réparation gratuite par téléphone au 1-888-359-4482 ou par courriel : ZLINEKitchen@realtimeresults.net, ou consulter le site Web de l’entreprise.Conformément à la Loi canadienne sur la sécurité des produits de consommation, il est interdit de redistribuer, de vendre ou même de…",2023-01-26,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-74497,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers,product-category-need-air-gas-detection-appareils-menagers-e2359404,product-category-need-air-gas-detection-appareils-menagers-e2359404-page-001,product-hc-74497,"Certaines chaudières résidentielles à condensation et chaudières mixtes, ainsi que certains systèmes emballés de la marque Epic",,,SRC-HC-RECALLS,Sécurité des produits de consommation,74497,https://recalls-rappels.canada.ca/fr/avis-rappel/certaines-chaudieres-residentielles-condensation-et-chaudieres-mixtes-ainsi-que,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’empoisonnement,Risque d’empoisonnement,"Les consommateurs devraient immédiatement communiquer avec l’installateur ou un technicien qualifié pour obtenir une réparation gratuite. La réparation consistera à installer une plaque d’acier, qui sera fixée à la base du collecteur des gaz de combustion pour servir de renfort. Les consommateurs résidant dans la province du Québec peuvent trouver un technicien qualifié en communiquant avec le distributeur local Trilex au 450-704-0947 afin de planifier une « mise à niveau du collecteur des gaz de combustion ». Les consommateurs de toutes les autres provinces canadiennes peuvent trouver un tec…",2023-11-02,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-77029,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers,product-category-need-air-gas-detection-appareils-menagers-e2359404,product-category-need-air-gas-detection-appareils-menagers-e2359404-page-001,product-hc-77029,"Chaudières à gaz à condensation Prestige Solo, Prestige Excellence et Aerco Esteem",,,SRC-HC-RECALLS,Sécurité des produits de consommation,77029,https://recalls-rappels.canada.ca/fr/avis-rappel/chaudieres-gaz-prestige-solo-prestige-excellence-et-aerco-esteem-rappelees-en-raison,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’empoisonnement,Risque d’empoisonnement,"Les consommateurs devraient communiquer immédiatement avec Triangle Tube pour planifier une inspection gratuite de la chaudière et, le cas échéant, l’installation gratuite d’un nouveau système d’allumage de chaudière. Les consommateurs qui continuent à utiliser les chaudières rappelées en attendant d’être réparées devraient avoir des détecteurs de monoxyde de carbone fonctionnelles à chaque étage de leur maison et à l’extérieur des aires de sommeil. Les consommateurs qui n’ont pas de détecteur de monoxyde de carbone peuvent communiquer avec Triangle Tube pour qu’un détecteur leur soit expédié…",2025-02-27,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-77273,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers,product-category-need-air-gas-detection-appareils-menagers-e2359404,product-category-need-air-gas-detection-appareils-menagers-e2359404-page-001,product-hc-77273,Chaudière à gaz murale HTP ELU Elite Ultra,,,SRC-HC-RECALLS,Sécurité des produits de consommation,77273,https://recalls-rappels.canada.ca/fr/avis-rappel/chaudiere-gaz-murale-htp-elu-elite-ultra-rappelee-en-raison-risques-incendie-et,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’empoisonnement - Risque d’incendie,Risque d’empoisonnement - Risque d’incendie,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et communiquer avec un installateur agréé pour planifier une réparation. Si la chaudière doit continuer de fonctionner pour éviter le gel, la faire fonctionner UNIQUEMENT avec le couvercle avant en place et SEULEMENT s’il y a un détecteur de monoxyde de carbone fonctionnel dans la chaufferie et dans l’espace habitable. Si vous n’avez pas les coordonnées de votre installateur, faites appel à un entrepreneur local en plomberie et chauffage et demandez-lui de communiquer avec HTP pour obtenir une trousse de réparation…",2025-06-05,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-64528,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers,product-category-need-air-gas-detection-appareils-menagers-e2359404,product-category-need-air-gas-detection-appareils-menagers-e2359404-page-001,product-hc-64528,NTI TRX Series II Wall Hung Gas-fired Boiler,,,SRC-HC-RECALLS,Sécurité des produits de consommation,64528,https://recalls-rappels.canada.ca/fr/avis-rappel/chaudiere-gaz-murale-nti-trx-series-ii-rappelee-en-raison-risques-incendie-et,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’empoisonnement - Risque d’incendie,Risque d’empoisonnement - Risque d’incendie,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et communiquer avec leur installateur agréé pour planifier une réparation. Si la chaudière doit continuer de fonctionner pour éviter le gel, la faire fonctionner UNIQUEMENT avec le couvercle avant en place et SEULEMENT s’il y a un détecteur de monoxyde de carbone fonctionnel dans la chaufferie et dans l’espace habitable. Si vous n’avez pas les coordonnées de votre installateur, faites appel à un entrepreneur local en plomberie et chauffage et demandez-lui de communiquer avec NTI pour obtenir une trousse de réparati…",2025-06-05,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-78282,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers,product-category-need-air-gas-detection-appareils-menagers-e2359404,product-category-need-air-gas-detection-appareils-menagers-e2359404-page-001,product-hc-78282,Chauffe-eau sans réservoir Vesta,,,SRC-HC-RECALLS,Sécurité des produits de consommation,78282,https://recalls-rappels.canada.ca/fr/avis-rappel/chauffe-eau-sans-reservoir-vesta-rappele-en-raison-risque-intoxication-au-monoxyde,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’empoisonnement,Risque d’empoisonnement,"Les consommateurs devraient cesser immédiatement d’utiliser le produit rappelé et communiquer avec VESTA.DS pour une réparation gratuite par un technicien certifié. Pour obtenir de plus amples renseignements, les consommateurs peuvent communiquer avec VESTA.DS par téléphone au 1-888-505-5525, du lundi au vendredi, de 8 h 30 à 18 h (HE), par courriel à condensingwaterheater@realtimeresults.net, ou consulter le site Web de l’entreprise.Avis de rappel conjoint de Santé Canada, de la Commission américaine de surveillance des produits de consommation (CPSC) et de VESTA.DS, Inc.Conformément à la Lo…",2025-10-16,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-81276,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers,product-category-need-air-gas-detection-appareils-menagers-e2359404,product-category-need-air-gas-detection-appareils-menagers-e2359404-page-001,product-hc-81276,"Chaudières à gaz à condensation Prestige Solo, Prestige Excellence et Aerco Esteem",,,SRC-HC-RECALLS,Sécurité des produits de consommation,81276,https://recalls-rappels.canada.ca/fr/avis-rappel/nouvelle-annonce-du-rappel-chaudieres-gaz-prestige-solo-prestige-excellence-et-aerco,Current recall / safety evidence,Safety evidence only — current market availability not established,,Risque d’empoisonnement,Risque d’empoisonnement,"Les consommateurs devraient immédiatement communiquer avec Triangle Tube pour planifier une inspection gratuite de la chaudière et, le cas échéant, l’installation gratuite d’un nouveau système d’allumage de chaudière si leur système d’allumage n’a pas encore été remplacé. Les consommateurs qui choisissent de continuer à utiliser les chaudières rappelées en attendant d’être réparées devraient avoir des détecteurs de monoxyde de carbone fonctionnelles à chaque étage de leur maison et à l’extérieur des aires de sommeil. Les consommateurs qui n’ont pas de détecteur de monoxyde de carbone peuvent…",2025-11-25,False,,,,,,,90,100,,85,89,Health Canada recall / safety notice,French / bilingual source
HC-63357,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers - Articles de maison,product-category-need-air-gas-detection-appareils-menagers-articles-de-maison-2389e2ee,product-category-need-air-gas-detection-appareils-menagers-articles-de-maison-2389e2ee-page-001,product-hc-63357,Certaines chaudières à condensation au gaz et chaudières combinées à condensation au gaz Lochinvar rappelées en raison de risque d'intoxication au monoxyde de carbone,,,SRC-HC-RECALLS,Sécurité des produits de consommation,63357,https://recalls-rappels.canada.ca/fr/avis-rappel/certaines-chaudieres-condensation-au-gaz-et-chaudieres-combinees-condensation-au-gaz,Current recall / safety evidence,Safety evidence only — current market availability not established,,,,,2020-06-18,False,,,,,,,90,100,,85,67,Health Canada recall / safety notice,French / bilingual source
HC-61401,product_safety_recall,need-air,1,Air / Breathable Environment / Gas Detection,need-air-gas-detection,Gas Detection,Appareils ménagers - Articles de maison,product-category-need-air-gas-detection-appareils-menagers-articles-de-maison-2389e2ee,product-category-need-air-gas-detection-appareils-menagers-articles-de-maison-2389e2ee-page-001,product-hc-61401,Chaudières au gaz à condensation Prestige Solo et Prestige Excellence de Triangle Tube rappelées aux fins de réparation en raison d'un risque d'empoisonnement au monoxyde de carbone,,,SRC-HC-RECALLS,Sécurité des produits de consommation,61401,https://recalls-rappels.canada.ca/fr/avis-rappel/chaudieres-au-gaz-condensation-prestige-solo-et-prestige-excellence-triangle-tube,Current recall / safety evidence,Safety evidence only — current market availability not established,,,,,2020-07-29,False,,,,,,,90,100,,85,67,Health Canada recall / safety notice,French / bilingual source
