archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,in a Superkrimp or Parkrimp 2.,English,81,"Parker Fittings Catalog, PDF page 159",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,79,,Part Thread Hose I.D. A E W B,2015,Parker Hannifin,high,83C-A20H,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-022,83C-A20H,Part Thread Hose I.D. A E W B,item-cat-000001,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000001,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,159,83C-A20H,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,^^Must be assembled with Die Part No. 83C-A20H in a Superkrimp or Parkrimp 2.,37,Part Thread Hose I.D. A E W B,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-022', 'item-cat-000001']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,in a Superkrimp or Parkrimp 2.,English,84,"Parker Fittings Catalog, PDF page 186",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,82,,Part Thread Hose I.D.,2015,Parker Hannifin,high,83C-D20H,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-022,83C-D20H,Part Thread Hose I.D.,item-cat-000002,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000002,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,24,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,186,83C-D20H,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,^^ Must be assembled with Die Part No. 83C-D20H in a Superkrimp or Parkrimp 2.,37,Part Thread Hose I.D.,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-022', 'item-cat-000002']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,The -6 and -12 SAE (45 ̊) swivel fittings are shown under,English,83,"Parker Fittings Catalog, PDF page 272",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,84,,Material,2015,Parker Hannifin,high,20822,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-020,20822,Material,item-cat-000003,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000003,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,272,20822,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,The -6 and -12 SAE (45 ̊) swivel fittings are shown under part number 20822.,37,Material,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-020', 'item-cat-000003']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,configurations. The -6 and -12 SAE (45 ̊) swivel fittings are shown under,English,78,"Parker Fittings Catalog, PDF page 276",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,83,,Part Thread Hose I.D. A J W B,2015,Parker Hannifin,high,20823,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-022,20823,Part Thread Hose I.D. A J W B,item-cat-000004,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000004,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,276,20823,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,configurations. The -6 and -12 SAE (45 ̊) swivel fittings are shown under part number 20823.,37,Part Thread Hose I.D. A J W B,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-022', 'item-cat-000004']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,Motor can be rewired by,English,86,"Parker Fittings Catalog, PDF page 328",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,84,,E Part Number,2015,Parker Hannifin,high,50hz,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-019,50hz,E Part Number,item-cat-000005,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000005,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,18,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,328,50hz,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,82C-CHD 82C-061L 82C-KKB Description Part Number 50hz. Motor can be rewired by,37,E Part Number,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-019', 'item-cat-000005']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,80C-H735 80C-H860 80C-H1015 80C-H1170 80C-H1365,English,81,"Parker Fittings Catalog, PDF page 329",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,84,,0.655 0.825 0.935 1.060 1.220 BLACK,2015,Parker Hannifin,high,80C-H595,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-013,80C-H595,0.655 0.825 0.935 1.060 1.220 BLACK,item-cat-000006,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000006,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,24,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,329,80C-H595,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 80C-H595 80C-H735 80C-H860 80C-H1015 80C-H1170 80C-H1365,37,0.655 0.825 0.935 1.060 1.220 BLACK,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-013', 'item-cat-000006']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,80C-H735 80C-H840 80C-H970 80C-H1120 80C-H1365,English,85,"Parker Fittings Catalog, PDF page 331",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,81,,SILVER,2015,Parker Hannifin,high,80C-H585,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-022,80C-H585,SILVER,item-cat-000007,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000007,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,331,80C-H585,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 80C-H585 80C-H735 80C-H840 80C-H970 80C-H1120 80C-H1365,37,SILVER,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-022', 'item-cat-000007']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,80C-H775 80C-H885 80C-H1010 80C-H1170 80C-H1465 80C-H1880,English,78,"Parker Fittings Catalog, PDF page 331",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,85,,SILVER,2015,Parker Hannifin,high,80C-H605,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-022,80C-H605,SILVER,item-cat-000008,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000008,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,331,80C-H605,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 80C-H605 80C-H775 80C-H885 80C-H1010 80C-H1170 80C-H1465 80C-H1880,37,SILVER,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-022', 'item-cat-000008']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,80C-A05 80C-A06 80C-A08 80C-A10 80C-A12 80C-A16 80C-A20 83C-A24 83C-A32,English,85,"Parker Fittings Catalog, PDF page 333",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,87,,HOSE RED PUR YEL BLU ORG GRN BLK WHT RED GRN,2015,Parker Hannifin,high,80C-A04,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-020,80C-A04,HOSE RED PUR YEL BLU ORG GRN BLK WHT RED GRN,item-cat-000009,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000009,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,333,80C-A04,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 80C-A04 80C-A05 80C-A06 80C-A08 80C-A10 80C-A12 80C-A16 80C-A20 83C-A24 83C-A32,37,HOSE RED PUR YEL BLU ORG GRN BLK WHT RED GRN,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-020', 'item-cat-000009']",
True,Historical catalog; technical reference,2015,Industrial Hose / Fittings / Couplings,pg-tools-hose,Industrial Hose / Fittings / Couplings,,80C-CS10 80C-CS12 83C-CS16 83C-CS20 83C-CS24 83C-CS32,English,84,"Parker Fittings Catalog, PDF page 333",88,high,explicit_part_number,need-tools-repair-hose-fittings,need-tools-repair-hose-fittings,85,,Tooling Required B,2015,Parker Hannifin,high,80C-CS08,need-tools-repair,90,Tools / Hose / Fittings,16,pg-tools-hose-page-023,80C-CS08,Tooling Required B,item-cat-000010,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-000010,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Parker Fittings Catalog.pdf,English,333,80C-CS08,Parker Fittings Catalog,SRC-0102,,Parker Hannifin,Die Part Number 80C-CS08 80C-CS10 80C-CS12 83C-CS16 83C-CS20 83C-CS24 83C-CS32,37,Tooling Required B,,pg-tools-hose,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hose-fittings', 'pg-tools-hose', 'pg-tools-hose-page-023', 'item-cat-000010']",
