archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,5” blade.,English,84,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,77,,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,2016,Gregg Distributors Ltd.,medium,S-5-F,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,S-5-F,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,item-cat-002573,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002573,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,18,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,S-5-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Stiff Blade - scrapes and chips out old putty Part No. P-2-S, 2” blade. Part No. S-5-F, 5” blade.",87,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002573']",
True,Historical catalog; Canadian supplier reference,2016,Hand Tools,pg-tools-hand,Hand Tools,,5” blade.,English,85,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hand-tools,need-tools-repair-hand-tools,60,,Miscellaneous Blades,2016,Gregg Distributors Ltd.,low,S-5-S,need-tools-repair,64,Tools / Hand Tools,16,pg-tools-hand-page-013,S-5-S,Miscellaneous Blades,item-cat-002574,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002574,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,S-5-S,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"blade •Full tang blades heat-treated, Part No. S-5-S, 5” blade.",37,Miscellaneous Blades,,pg-tools-hand,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-hand', 'pg-tools-hand-page-013', 'item-cat-002574']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,6” blade.,English,81,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,73,,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,2016,Gregg Distributors Ltd.,medium,S-6-F,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,S-6-F,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,item-cat-002575,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002575,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,24,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,S-6-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-1-1/4-S, 11⁄4” blade. Part No. S-6-F, 6” blade.",87,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002575']",
True,Historical catalog; Canadian supplier reference,2016,Hand Tools,pg-tools-hand,Hand Tools,,6” blade.,English,82,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hand-tools,need-tools-repair-hand-tools,64,,Miscellaneous Blades,2016,Gregg Distributors Ltd.,low,S-6-S,need-tools-repair,64,Tools / Hand Tools,16,pg-tools-hand-page-013,S-6-S,Miscellaneous Blades,item-cat-002576,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002576,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,S-6-S,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"tempered, ground, mirror-polished and Part No. S-6-S, 6” blade.",37,Miscellaneous Blades,,pg-tools-hand,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-hand', 'pg-tools-hand-page-013', 'item-cat-002576']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,11⁄4” blade.,English,84,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,75,,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,2016,Gregg Distributors Ltd.,medium,ST-1-1/4-F,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,ST-1-1/4-F,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,item-cat-002577,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002577,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,ST-1-1/4-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-1-1/4-F, 11⁄4” blade. Part No. P-2-F, 2” blade. Flexible Blade",87,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002577']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,11⁄4” blade.,English,86,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,74,,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,2016,Gregg Distributors Ltd.,medium,ST-1-1/4-S,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,ST-1-1/4-S,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,item-cat-002578,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002578,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,24,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,ST-1-1/4-S,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-1-1/4-S, 11⁄4” blade. Part No. S-6-F, 6” blade.",87,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002578']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,2” blade. Stiff Blade - scrapes and chips out old putty,English,81,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,71,,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,2016,Gregg Distributors Ltd.,medium,ST-2-F,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,ST-2-F,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,item-cat-002579,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002579,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,ST-2-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-2-F, 2” blade. Stiff Blade - scrapes and chips out old putty Part No. S-3-F, 3” blade.",87,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002579']",
True,Historical catalog; Canadian supplier reference,2016,Building / Structural Hardware,pg-shelter-building-hardware,Building / Structural Hardware,,3” blade.,English,78,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-shelter-building-envelope,need-shelter-building-envelope,72,,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,2016,Gregg Distributors Ltd.,medium,ST-3-F,need-shelter,78,Shelter / Building Envelope / Hardware,4,pg-shelter-building-hardware-page-003,ST-3-F,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,item-cat-002580,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002580,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,ST-3-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-3-F, 3” blade. Part No. P-1-1/4-S, 11⁄4” blade. Part No. S-3-1/2-F, 31⁄2” blade.",87,PUTTY KNIVES / WALL SCRAPERS PUTTY KNIVES / WALL SCRAPERS WALL SCRAPERS/TAPING KNIVES,,pg-shelter-building-hardware,"['human-consumer', 'human-needs', 'need-shelter', 'need-shelter-building-envelope', 'pg-shelter-building-hardware', 'pg-shelter-building-hardware-page-003', 'item-cat-002580']",
True,Historical catalog; Canadian supplier reference,2016,Hand Tools,pg-tools-hand,Hand Tools,,3” blade. Stiff Blade,English,83,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hand-tools,need-tools-repair-hand-tools,59,,Miscellaneous Blades,2016,Gregg Distributors Ltd.,low,ST-3-S,need-tools-repair,64,Tools / Hand Tools,16,pg-tools-hand-page-013,ST-3-S,Miscellaneous Blades,item-cat-002581,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002581,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,17,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,ST-3-S,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-3-S, 3” blade. Stiff Blade",37,Miscellaneous Blades,,pg-tools-hand,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-hand', 'pg-tools-hand-page-013', 'item-cat-002581']",
True,Historical catalog; Canadian supplier reference,2016,Hand Tools,pg-tools-hand,Hand Tools,,4” blade.,English,82,"Gregg Distributors Product Catalogue, PDF page 298",88,high,explicit_part_number,need-tools-repair-hand-tools,need-tools-repair-hand-tools,61,,Miscellaneous Blades,2016,Gregg Distributors Ltd.,low,ST-4-F,need-tools-repair,64,Tools / Hand Tools,16,pg-tools-hand-page-013,ST-4-F,Miscellaneous Blades,item-cat-002582,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-002582,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,2016 - Gregg Catalogue.PDF,English,298,ST-4-F,Gregg Distributors Product Catalogue,SRC-0103,,Gregg Distributors Ltd.,"Part No. ST-4-F, 4” blade.",37,Miscellaneous Blades,,pg-tools-hand,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-hand', 'pg-tools-hand-page-013', 'item-cat-002582']",
