archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,on special order cord sets.,English,85,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 12",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,89,,Tapes &,unknown,Waytek,high,10240,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-018,10240,Tapes &,item-cat-003433,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003433,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,15,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,12,10240,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,on special order cord sets. Stock No. 10240,62,Tapes &,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-018', 'item-cat-003433']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,14/3 25 SJEW-A Blue 15 3.2 10319 User Attachable,English,80,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 12",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,89,,Gauge / Length Jacket Jacket Current Weight Stock,unknown,Waytek,high,10280,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-011,10280,Gauge / Length Jacket Jacket Current Weight Stock,item-cat-003434,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003434,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,12,10280,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,14/3 25 SJEW-A Blue 15 3.2 10319 User Attachable Stock No. 10280,62,Gauge / Length Jacket Jacket Current Weight Stock,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-011', 'item-cat-003434']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,quality cord assure complete satisfaction. Call sales department for details,English,86,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 12",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,79,,Tapes &,unknown,Waytek,high,10292,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-018,10292,Tapes &,item-cat-003435,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003435,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,12,10292,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,quality cord assure complete satisfaction. Call sales department for details Stock No. 10292,62,Tapes &,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-018', 'item-cat-003435']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Stock No. 10330,English,86,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 12",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,79,,Stock No. 10330,unknown,Waytek,high,10330,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-014,10330,Stock No. 10330,item-cat-003436,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003436,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,12,10330,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10330,62,Stock No. 10330,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-014', 'item-cat-003436']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,25 ft cord length Stock No. 10106 Stock No. 10107,English,84,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,79,,Accessories,unknown,Waytek,high,10103,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-007,10103,Accessories,item-cat-003437,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003437,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10103,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10103 25 ft cord length Stock No. 10106 Stock No. 10107,62,Accessories,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-007', 'item-cat-003437']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Replacement Bulb Stock No. 10109 Stock No. 10108,English,81,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,83,,Stock No. 10105,unknown,Waytek,high,10104,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-014,10104,Stock No. 10105,item-cat-003438,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003438,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,15,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10104,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10104 Replacement Bulb Stock No. 10109 Stock No. 10108,62,Stock No. 10105,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-014', 'item-cat-003438']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Stock No. 10105,English,81,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,83,,Stock No. 10105,unknown,Waytek,high,10105,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-014,10105,Stock No. 10105,item-cat-003439,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003439,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10105,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10105,62,Stock No. 10105,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-014', 'item-cat-003439']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Stock No. 10107,English,86,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,81,,Accessories,unknown,Waytek,high,10106,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-007,10106,Accessories,item-cat-003440,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003440,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,17,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10106,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10103 25 ft cord length Stock No. 10106 Stock No. 10107,62,Accessories,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-007', 'item-cat-003440']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Stock No. 10103 25 ft cord length Stock No. 10106,English,80,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,81,,Accessories,unknown,Waytek,high,10107,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-008,10107,Accessories,item-cat-003441,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003441,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10107,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10103 25 ft cord length Stock No. 10106 Stock No. 10107,62,Accessories,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-008', 'item-cat-003441']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Stock No. 10104 Replacement Bulb Stock No. 10109,English,81,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,86,,Stock No. 10105,unknown,Waytek,high,10108,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-014,10108,Stock No. 10105,item-cat-003442,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003442,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10108,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Stock No. 10104 Replacement Bulb Stock No. 10109 Stock No. 10108,62,Stock No. 10105,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-014', 'item-cat-003442']",
True,Historical/current mixed,unknown,Automotive Electrical / Connectors,pg-transport-electrical,Automotive Electrical / Connectors,,Trouble lights with a single,English,85,"Waytek Automotive Electrical Supplies Catalog 220, PDF page 14",88,high,explicit_part_number,need-transportation-vehicle-electrical,need-transportation-vehicle-electrical,86,,Replacement Bulb,unknown,Waytek,high,10109,need-transportation,90,Transportation / Vehicle Electrical,10,pg-transport-electrical-page-014,10109,Replacement Bulb,item-cat-003443,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-003443,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Waytek Automotive Electrical Supplies Catalog #220 -- 6acc7f92fc951ed4c0862b279a1aaf4d -- Anna’s Archive.pdf,English,14,10109,Waytek Automotive Electrical Supplies Catalog 220,SRC-0124,,Waytek,Trouble lights with a single Stock No. 10109,62,Replacement Bulb,,pg-transport-electrical,"['human-consumer', 'human-needs', 'need-transportation', 'need-transportation-vehicle-electrical', 'pg-transport-electrical', 'pg-transport-electrical-page-014', 'item-cat-003443']",
