archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,k g .7371 k g .7938 k g .6237 k g,English,79,"80/20 Catalog 20, PDF page 35",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,85,,15 Series,circa 2014,80/20 Inc.,high,7938,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-002,7938,15 Series,item-cat-004754,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004754,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,35,7938,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per eter .6804 k g .8505 k g .7938 k g .7371 k g .7938 k g .6237 k g,37,15 Series,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-002', 'item-cat-004754']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,k g .7938 k g .7371 k g .7938 k g .6237 k g,English,82,"80/20 Catalog 20, PDF page 35",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,86,,15 Series,circa 2014,80/20 Inc.,high,8505,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-002,8505,15 Series,item-cat-004755,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004755,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,35,8505,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per eter .6804 k g .8505 k g .7938 k g .7371 k g .7938 k g .6237 k g,37,15 Series,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-002', 'item-cat-004755']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,or 6m toc Length,English,83,"80/20 Catalog 20, PDF page 36",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,83,,PROFILES,circa 2014,80/20 Inc.,high,4m,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-012,4m,PROFILES,item-cat-004756,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004756,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,36,4m,80/20 Catalog 20,SRC-0104,,80/20 Inc.,toc Length 4m or 6m 4m or 6m 4m or 6m toc Length 4m 4m 4m or 6m 4m or 6m 4m or 6m 4m,37,PROFILES,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-012', 'item-cat-004756']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,lb .0251 lb .0325 lb .0325 lb .0295 lb .0355 lb,English,79,"80/20 Catalog 20, PDF page 37",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,83,,.356 TYP .584 TYP,circa 2014,80/20 Inc.,high,0215,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-002,0215,.356 TYP .584 TYP,item-cat-004757,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004757,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,37,0215,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per nch .0215 lb .0251 lb .0325 lb .0325 lb .0295 lb .0355 lb .0355 lb Drop Moment Surface Yield Modulus,37,.356 TYP .584 TYP,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-002', 'item-cat-004757']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,lb .0325 lb .0325 lb .0295 lb .0355 lb .0355 lb,English,86,"80/20 Catalog 20, PDF page 37",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,82,,.356 TYP .584 TYP,circa 2014,80/20 Inc.,high,0251,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-002,0251,.356 TYP .584 TYP,item-cat-004758,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004758,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,37,0251,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per nch .0215 lb .0251 lb .0325 lb .0325 lb .0295 lb .0355 lb .0355 lb Drop Moment Surface Yield Modulus,37,.356 TYP .584 TYP,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-002', 'item-cat-004758']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,lb .0355 lb .0355 lb Drop Moment Surface,English,85,"80/20 Catalog 20, PDF page 37",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,85,,.356 TYP .584 TYP,circa 2014,80/20 Inc.,high,0295,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-002,0295,.356 TYP .584 TYP,item-cat-004759,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004759,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,37,0295,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per nch .0215 lb .0251 lb .0325 lb .0325 lb .0295 lb .0355 lb .0355 lb Drop Moment Surface Yield Modulus,37,.356 TYP .584 TYP,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-002', 'item-cat-004759']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,lb .0325 lb .0295 lb .0355 lb .0355 lb Drop,English,86,"80/20 Catalog 20, PDF page 37",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,81,,.356 TYP .584 TYP,circa 2014,80/20 Inc.,high,0325,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-002,0325,.356 TYP .584 TYP,item-cat-004760,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004760,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,37,0325,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per nch .0215 lb .0251 lb .0325 lb .0325 lb .0295 lb .0355 lb .0355 lb Drop Moment Surface Yield Modulus,37,.356 TYP .584 TYP,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-002', 'item-cat-004760']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,lb .0355 lb Drop Moment Surface Yield,English,80,"80/20 Catalog 20, PDF page 37",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,86,,.356 TYP .584 TYP,circa 2014,80/20 Inc.,high,0355,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-002,0355,.356 TYP .584 TYP,item-cat-004761,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004761,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,37,0355,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per nch .0215 lb .0251 lb .0325 lb .0325 lb .0295 lb .0355 lb .0355 lb Drop Moment Surface Yield Modulus,37,.356 TYP .584 TYP,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-002', 'item-cat-004761']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,lb .0678 lb .0869 lb .0869 lb .106 lb .106 lb,English,78,"80/20 Catalog 20, PDF page 37",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,86,,PROFILES,circa 2014,80/20 Inc.,high,0678,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-012,0678,PROFILES,item-cat-004762,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004762,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,37,0678,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per nch .0678 lb .0678 lb .0869 lb .0869 lb .106 lb .106 lb .106 lb TYP,37,PROFILES,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-012', 'item-cat-004762']",
True,Historical catalog; current online refresh possible,circa 2014,Modular Framing / Profiles / Panels,pg-tools-modular,Modular Framing / Profiles / Panels,,lb .106 lb .106 lb TYP,English,85,"80/20 Catalog 20, PDF page 37",72,medium,table_row,need-tools-repair-modular-framing,need-tools-repair-modular-framing,85,,PROFILES,circa 2014,80/20 Inc.,high,106,need-tools-repair,90,Tools / Modular Framing,16,pg-tools-modular-page-012,106,PROFILES,item-cat-004763,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-004763,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,Catalog_20_20.pdf,English,37,106,80/20 Catalog 20,SRC-0104,,80/20 Inc.,eight Per nch .0678 lb .0678 lb .0869 lb .0869 lb .106 lb .106 lb .106 lb TYP,37,PROFILES,,pg-tools-modular,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-modular-framing', 'pg-tools-modular', 'pg-tools-modular-page-012', 'item-cat-004763']",
