archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical catalog,2014,Audio / Video / Display,pg-communication-av,Audio / Video / Display,,delivers warmth and,English,70,"MCM Electronics Catalog 57, PDF page 41",72,medium,table_row,need-communication-alerts-news,need-communication-alerts-news,76,,APPLIED RESEARCH AND TECHNOLOGY,2014,MCM Electronics,medium,V3,need-communication,78,Communication / Audio / Video,11,pg-communication-av-page-002,V3,APPLIED RESEARCH AND TECHNOLOGY,item-cat-008410,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008410,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,41,V3,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,quality audio interface V3 delivers warmth and,58,APPLIED RESEARCH AND TECHNOLOGY,,pg-communication-av,"['human-consumer', 'human-needs', 'need-communication', 'need-communication-alerts-news', 'pg-communication-av', 'pg-communication-av-page-002', 'item-cat-008410']",
True,Historical catalog,2014,Water Hose / Tubing,pg-water-hose,Water Hose / Tubing,,Hz A/D and D/A converters for high-end audio,English,84,"MCM Electronics Catalog 57, PDF page 42",72,medium,table_row,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,76,,— MICIOO $44.99,2014,MCM Electronics,medium,48K,need-water,78,Water / Hoses / Tubing,2,pg-water-hose-page-003,48K,— MICIOO $44.99,item-cat-008411,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008411,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,18,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,42,48K,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,"tube *Ensures outstanding signal transparency USB, plug and play 48K Hz A/D and D/A converters for high-end audio",96,— MICIOO $44.99,,pg-water-hose,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-hose', 'pg-water-hose-page-003', 'item-cat-008411']",
True,Historical catalog,2014,Water Hose / Tubing,pg-water-hose,Water Hose / Tubing,,nominal °S/N ratio: >90dB *Dimensions,English,82,"MCM Electronics Catalog 57, PDF page 42",72,medium,table_row,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,75,,Amplifier,2014,MCM Electronics,medium,500mV,need-water,78,Water / Hoses / Tubing,2,pg-water-hose-page-002,500mV,Amplifier,item-cat-008412,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008412,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,25,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,42,500mV,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,500mV nominal °S/N ratio: >90dB *Dimensions: MIC100 gives you the sound quality of a vintage tube Features: Supports up to 16 channels in and out,96,Amplifier,,pg-water-hose,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-hose', 'pg-water-hose-page-002', 'item-cat-008412']",
True,Historical catalog,2014,Water Hose / Tubing,pg-water-hose,Water Hose / Tubing,,gives you the sound quality of a vintage tube Features: Supports up to 16 channels in and out,English,82,"MCM Electronics Catalog 57, PDF page 42",72,medium,table_row,need-water-pumps-hoses-fittings,need-water-pumps-hoses-fittings,77,,Amplifier,2014,MCM Electronics,medium,MIC100,need-water,78,Water / Hoses / Tubing,2,pg-water-hose-page-002,MIC100,Amplifier,item-cat-008413,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008413,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,42,MIC100,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,500mV nominal °S/N ratio: >90dB *Dimensions: MIC100 gives you the sound quality of a vintage tube Features: Supports up to 16 channels in and out,96,Amplifier,,pg-water-hose,"['human-consumer', 'human-needs', 'need-water', 'need-water-pumps-hoses-fittings', 'pg-water-hose', 'pg-water-hose-page-002', 'item-cat-008413']",
True,Historical catalog,2014,Electronic Components / Test Electronics,pg-communication-electronics,Electronic Components / Test Electronics,,MOM Part 6.03: coasts fas tk,English,71,"MCM Electronics Catalog 57, PDF page 42",72,medium,table_row,need-communication-data-storage,need-communication-data-storage,75,,— MICIOO $44.99,2014,MCM Electronics,medium,MIC200,need-communication,78,Communication / Electronic Components,11,pg-communication-electronics-page-022,MIC200,— MICIOO $44.99,item-cat-008414,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008414,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,42,MIC200,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,555-14670 MIC200 MOM Part 6.03: coasts fas tk,58,— MICIOO $44.99,,pg-communication-electronics,"['human-consumer', 'human-needs', 'need-communication', 'need-communication-data-storage', 'pg-communication-electronics', 'pg-communication-electronics-page-022', 'item-cat-008414']",
True,Historical catalog,2014,Electronic Components / Test Electronics,pg-communication-electronics,Electronic Components / Test Electronics,,gives you the sound quality of a vintage APPLIED RESEARCH AND TECHNOLOGY,English,72,"MCM Electronics Catalog 57, PDF page 42",72,medium,table_row,need-communication-data-storage,need-communication-data-storage,70,,— MICIOO $44.99,2014,MCM Electronics,medium,MIC2200,need-communication,78,Communication / Electronic Components,11,pg-communication-electronics-page-022,MIC2200,— MICIOO $44.99,item-cat-008415,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008415,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,42,MIC2200,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,MIC2200 gives you the sound quality of a vintage APPLIED RESEARCH AND TECHNOLOGY,58,— MICIOO $44.99,,pg-communication-electronics,"['human-consumer', 'human-needs', 'need-communication', 'need-communication-data-storage', 'pg-communication-electronics', 'pg-communication-electronics-page-022', 'item-cat-008415']",
True,Historical catalog,2014,Audio / Video / Display,pg-communication-av,Audio / Video / Display,,Monitor Headphone Amplifier Four Channel High-Power,English,65,"MCM Electronics Catalog 57, PDF page 43",72,medium,table_row,need-communication-alerts-news,need-communication-alerts-news,78,,Monitor Headphone Amplifier Four Channel High-Power,2014,MCM Electronics,medium,7.6.),need-communication,78,Communication / Audio / Video,11,pg-communication-av-page-004,7.6.),Monitor Headphone Amplifier Four Channel High-Power,item-cat-008416,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008416,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,20,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,43,7.6.),MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,MCM Part # Mm MMe cItronics 7.6.),58,Monitor Headphone Amplifier Four Channel High-Power,,pg-communication-av,"['human-consumer', 'human-needs', 'need-communication', 'need-communication-alerts-news', 'pg-communication-av', 'pg-communication-av-page-004', 'item-cat-008416']",
True,Historical catalog,2014,Audio / Video / Display,pg-communication-av,Audio / Video / Display,,delivers in style. Features: *Four independent,English,72,"MCM Electronics Catalog 57, PDF page 43",72,medium,table_row,need-communication-alerts-news,need-communication-alerts-news,71,,Monitor Headphone Amplifier Four Channel High-Power,2014,MCM Electronics,medium,HA4700,need-communication,78,Communication / Audio / Video,11,pg-communication-av-page-004,HA4700,Monitor Headphone Amplifier Four Channel High-Power,item-cat-008417,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008417,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,43,HA4700,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,"Simple, affordable means MCM Part # ONLY HA4700 delivers in style. Features: *Four independent",58,Monitor Headphone Amplifier Four Channel High-Power,,pg-communication-av,"['human-consumer', 'human-needs', 'need-communication', 'need-communication-alerts-news', 'pg-communication-av', 'pg-communication-av-page-004', 'item-cat-008417']",
True,Historical catalog,2014,Electronic Components / Test Electronics,pg-communication-electronics,Electronic Components / Test Electronics,,"Series, this compact mono line level",English,72,"MCM Electronics Catalog 57, PDF page 44",72,medium,table_row,need-communication-data-storage,need-communication-data-storage,79,,RESEARCH AND TECHNOLOGY,2014,MCM Electronics,medium,HeadAMP4,need-communication,78,Communication / Electronic Components,11,pg-communication-electronics-page-017,HeadAMP4,RESEARCH AND TECHNOLOGY,item-cat-008418,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008418,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,44,HeadAMP4,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,"HeadAMP4 Series, this compact mono line level",58,RESEARCH AND TECHNOLOGY,,pg-communication-electronics,"['human-consumer', 'human-needs', 'need-communication', 'need-communication-data-storage', 'pg-communication-electronics', 'pg-communication-electronics-page-017', 'item-cat-008418']",
True,Historical catalog,2014,Electronic Components / Test Electronics,pg-communication-electronics,Electronic Components / Test Electronics,,as four stereo input channels thru four Perfect when up to three,English,65,"MCM Electronics Catalog 57, PDF page 46",72,medium,table_row,need-communication-data-storage,need-communication-data-storage,76,,Splitter/Mixer,2014,MCM Electronics,medium,SPLITMix4,need-communication,78,Communication / Electronic Components,11,pg-communication-electronics-page-019,SPLITMix4,Splitter/Mixer,item-cat-008419,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-008419,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"2014 MCMelectronics_com Catalog 57 -- null -- Volume catalog 57, -- MCM Electronics -- 53548c3340b321b2ed844f17074f7c87 -- Anna’s Archive.pdf",English,46,SPLITMix4,MCM Electronics Catalog 57,SRC-0118,,MCM Electronics,SPLITMix4 as four stereo input channels thru four Perfect when up to three,58,Splitter/Mixer,,pg-communication-electronics,"['human-consumer', 'human-needs', 'need-communication', 'need-communication-data-storage', 'pg-communication-electronics', 'pg-communication-electronics-page-019', 'item-cat-008419']",
