archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,Lock Nut; Without Standard,English,84,"Starrett Precision Tools Catalog 28, PDF page 35",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,80,,Lock Nut; Without Standard,unknown,Starrett,high,51090,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-010,51090,Lock Nut; Without Standard,item-cat-010344,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010344,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,26,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,35,51090,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,2 to 3” 239RLS-3 239RL-3 51090,37,Lock Nut; Without Standard,,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-010', 'item-cat-010344']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,Lock Nut; Without Standard,English,78,"Starrett Precision Tools Catalog 28, PDF page 35",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,84,,Lock Nut; Without Standard,unknown,Starrett,high,51093,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-010,51093,Lock Nut; Without Standard,item-cat-010345,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010345,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,23,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,35,51093,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,3 to 4” 239RLS-4 239RL-4 51093,37,Lock Nut; Without Standard,,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-010', 'item-cat-010345']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,Lock Nut; Without Standard,English,83,"Starrett Precision Tools Catalog 28, PDF page 35",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,80,,Lock Nut; Without Standard,unknown,Starrett,high,51096,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-010,51096,Lock Nut; Without Standard,item-cat-010346,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010346,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,35,51096,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,4 to 5” 239RLS-5 239RL-5 51096,37,Lock Nut; Without Standard,,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-010', 'item-cat-010346']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,Lock Nut; Without Standard,English,83,"Starrett Precision Tools Catalog 28, PDF page 35",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,87,,Lock Nut; Without Standard,unknown,Starrett,high,51099,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-010,51099,Lock Nut; Without Standard,item-cat-010347,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010347,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,16,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,35,51099,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,5 to 6” 239RLS-6 239RL-6 51099,37,Lock Nut; Without Standard,,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-010', 'item-cat-010347']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,TREOV2 436P-2 51590 234B-1 51017,English,80,"Starrett Precision Tools Catalog 28, PDF page 38",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,83,,TREOV2 436P-2 51590 234B-1 51017,unknown,Starrett,high,51017,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,51017,TREOV2 436P-2 51590 234B-1 51017,item-cat-010348,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010348,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,21,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,38,51017,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,TREOV2 436P-2 51590 234B-1 51017,37,TREOV2 436P-2 51590 234B-1 51017,,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010348']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Friction Thimble, No Lock Nut",English,78,"Starrett Precision Tools Catalog 28, PDF page 39",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,87,,"With Friction Thimble, No Lock Nut",unknown,Starrett,high,234B-1,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,234B-1,"With Friction Thimble, No Lock Nut",item-cat-010349,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010349,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,39,234B-1,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,"001"" 436F-2 51594 234B-1",37,"With Friction Thimble, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010349']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Friction Thimble, No Lock Nut",English,84,"Starrett Precision Tools Catalog 28, PDF page 39",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,80,,"With Friction Thimble, No Lock Nut",unknown,Starrett,high,234B-2,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,234B-2,"With Friction Thimble, No Lock Nut",item-cat-010350,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010350,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,14,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,39,234B-2,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,436FL-3 51614 234B-2,37,"With Friction Thimble, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010350']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Friction Thimble, No Lock Nut",English,82,"Starrett Precision Tools Catalog 28, PDF page 39",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,82,,"With Friction Thimble, No Lock Nut",unknown,Starrett,high,51569,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,51569,"With Friction Thimble, No Lock Nut",item-cat-010351,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010351,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,19,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,39,51569,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,436F-1 51569,37,"With Friction Thimble, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010351']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Friction Thimble, No Lock Nut",English,86,"Starrett Precision Tools Catalog 28, PDF page 39",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,81,,"With Friction Thimble, No Lock Nut",unknown,Starrett,high,51570,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,51570,"With Friction Thimble, No Lock Nut",item-cat-010352,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010352,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,22,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,39,51570,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,436FL-1 51570,37,"With Friction Thimble, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010352']",
True,Historical/current mixed,unknown,Measuring / Gages / Inspection,pg-tools-measuring,Measuring / Gages / Inspection,,"With Ratchet Stop, No Lock Nut",English,83,"Starrett Precision Tools Catalog 28, PDF page 40",72,medium,table_row,need-tools-repair-hand-tools,need-tools-repair-hand-tools,79,,"With Ratchet Stop, No Lock Nut",unknown,Starrett,high,234MB-125,need-tools-repair,90,Tools / Measuring & Gages,16,pg-tools-measuring-page-015,234MB-125,"With Ratchet Stop, No Lock Nut",item-cat-010353,,"Verify current equivalent, price, availability and specifications before purchase.",CAT-010353,catalog-product,Extracted English catalog record — current status and price require verification,catalog_product,15,,Provisional heuristic; recalculate from User Profile and current offer evidence.,"Starrett Precision Tools, Gages and Saws (Catalog No_ 28) -- L_ S_ Starrett Company -- 1991-01-01 -- L_ S_ Starrett Company -- 289b59334dec14c822e5a9f3a595b65b -- Anna’s Archive.pdf",English,40,234MB-125,Starrett Precision Tools Catalog 28,SRC-0119,,Starrett,125 to 150 mm V436MRL-150 234MB-125,37,"With Ratchet Stop, No Lock Nut",,pg-tools-measuring,"['human-consumer', 'human-needs', 'need-tools-repair', 'need-tools-repair-hand-tools', 'pg-tools-measuring', 'pg-tools-measuring-page-015', 'item-cat-010353']",
