archived,availability,catalog_year,category_group,category_group_id,category_original,currency,description,display_language,durability,evidence,evidence_score,extraction_confidence,extraction_method,fulfillment_class,fulfillment_id,fulfillment_score,historical_price_usd,item_name,last_updated,manufacturer,mapping_confidence,model_part_number,need_id,need_match_score,need_path,need_rank,page_id,part_number,product_name,product_node_id,recall_class,recommended_action,record_id,record_kind,record_status,record_type,risk,risk_type,score_status,source_file,source_language,source_page,source_record_id,source_title,source_uid,source_url,source_vendor,spec_text,survival_value,title,total_cost,tree_node_id,tree_path_ids,value_score
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Mathematics / Statistics,pg-service-college-mathematics-statistics,Mathematics,,College independent-study course in Mathematics. Credit: 3S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,80,,College algebra,1995,Eastern Kentucky University,high,135,need-education,84,Education / Postsecondary / Mathematics / Statistics,15,pg-service-college-mathematics-statistics-page-001,135,College algebra,item-course-001063,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001063,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,135,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Mathematics; credit: 3S; division: L,42,College algebra,,pg-service-college-mathematics-statistics,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-mathematics-statistics', 'pg-service-college-mathematics-statistics-page-001', 'item-course-001063']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Mathematics / Statistics,pg-service-college-mathematics-statistics,Mathematics,,College independent-study course in Mathematics. Credit: 3S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,75,,Intermediate algebra,1995,Eastern Kentucky University,high,103,need-education,84,Education / Postsecondary / Mathematics / Statistics,15,pg-service-college-mathematics-statistics-page-001,103,Intermediate algebra,item-course-001064,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001064,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,103,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Mathematics; credit: 3S; division: L,42,Intermediate algebra,,pg-service-college-mathematics-statistics,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-mathematics-statistics', 'pg-service-college-mathematics-statistics-page-001', 'item-course-001064']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Mathematics / Statistics,pg-service-college-mathematics-statistics,Mathematics,,College independent-study course in Mathematics. Credit: 3S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,71,,Trigonometry,1995,Eastern Kentucky University,high,137,need-education,84,Education / Postsecondary / Mathematics / Statistics,15,pg-service-college-mathematics-statistics-page-001,137,Trigonometry,item-course-001065,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001065,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,137,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Mathematics; credit: 3S; division: L,42,Trigonometry,,pg-service-college-mathematics-statistics,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-mathematics-statistics', 'pg-service-college-mathematics-statistics-page-001', 'item-course-001065']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Health / Nursing / Emergency Services,pg-service-college-health-nursing-emergency-services,Nursing,,College independent-study course in Nursing. Credit: 2S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,79,,Nutrition,1995,Eastern Kentucky University,high,223,need-education,84,Education / Postsecondary / Health / Nursing / Emergency Services,15,pg-service-college-health-nursing-emergency-services-page-001,223,Nutrition,item-course-001066,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001066,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,223,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Nursing; credit: 2S; division: L,42,Nutrition,,pg-service-college-health-nursing-emergency-services,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-health-nursing-emergency-services', 'pg-service-college-health-nursing-emergency-services-page-001', 'item-course-001066']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — General / Interdisciplinary,pg-service-college-general-interdisciplinary,Critical and historical introduction to,,"College independent-study course in Critical and historical introduction to. Credit: 3S, SL.",English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,70,,philosophy,1995,Eastern Kentucky University,high,107,need-education,84,Education / Postsecondary / General / Interdisciplinary,15,pg-service-college-general-interdisciplinary-page-003,107,philosophy,item-course-001067,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001067,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,107,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,"Institution: Eastern Kentucky University; level: College; department: Critical and historical introduction to; credit: 3S, SL; division: L",42,philosophy,,pg-service-college-general-interdisciplinary,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-general-interdisciplinary', 'pg-service-college-general-interdisciplinary-page-003', 'item-course-001067']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Science / Environment,pg-service-college-science-environment,Physics,,College independent-study course in Physics. Credit: 3S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,73,,Einstein and modern physics,1995,Eastern Kentucky University,high,147,need-education,84,Education / Postsecondary / Science / Environment,15,pg-service-college-science-environment-page-003,147,Einstein and modern physics,item-course-001068,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001068,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,147,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Physics; credit: 3S; division: L,42,Einstein and modern physics,,pg-service-college-science-environment,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-science-environment', 'pg-service-college-science-environment-page-003', 'item-course-001068']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Science / Environment,pg-service-college-science-environment,Physics,,College independent-study course in Physics. Credit: 3S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,71,,Sound and music,1995,Eastern Kentucky University,high,127,need-education,84,Education / Postsecondary / Science / Environment,15,pg-service-college-science-environment-page-003,127,Sound and music,item-course-001069,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001069,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,127,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Physics; credit: 3S; division: L,42,Sound and music,,pg-service-college-science-environment,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-science-environment', 'pg-service-college-science-environment-page-003', 'item-course-001069']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Psychology / Sociology / Human Services,pg-service-college-psychology-sociology-human-services,Psychology,,College independent-study course in Psychology. Credit: 3S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,77,,'Child psychology,1995,Eastern Kentucky University,high,223,need-education,84,Education / Postsecondary / Psychology / Sociology / Human Services,15,pg-service-college-psychology-sociology-human-services-page-002,223,'Child psychology,item-course-001070,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001070,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,223,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Psychology; credit: 3S; division: L,42,'Child psychology,,pg-service-college-psychology-sociology-human-services,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-psychology-sociology-human-services', 'pg-service-college-psychology-sociology-human-services-page-002', 'item-course-001070']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Psychology / Sociology / Human Services,pg-service-college-psychology-sociology-human-services,Psychology,,College independent-study course in Psychology. Credit: 3S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,77,,Developmental psychology,1995,Eastern Kentucky University,high,231,need-education,84,Education / Postsecondary / Psychology / Sociology / Human Services,15,pg-service-college-psychology-sociology-human-services-page-002,231,Developmental psychology,item-course-001071,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001071,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,231,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Psychology; credit: 3S; division: L,42,Developmental psychology,,pg-service-college-psychology-sociology-human-services,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-psychology-sociology-human-services', 'pg-service-college-psychology-sociology-human-services-page-002', 'item-course-001071']",
True,Historical 1995 service catalog; contact institution or successor to verify.,1995,College — Psychology / Sociology / Human Services,pg-service-college-psychology-sociology-human-services,Psychology,,College independent-study course in Psychology. Credit: 3S.,English,,"The Independent Study Catalog, 1995 structured course listing.",78,medium,text catalog parser,Postsecondary,need-education-postsecondary,75,,Introductory psychology,1995,Eastern Kentucky University,high,111,need-education,84,Education / Postsecondary / Psychology / Sociology / Human Services,15,pg-service-college-psychology-sociology-human-services-page-002,111,Introductory psychology,item-course-001072,,"Verify the current institution, equivalent course, delivery method, tuition and accreditation.",COURSE-001072,service,Historical education service listing — current availability requires verification,historical_education_service,12,Historical availability uncertainty,Provisional heuristic; recalculate from User Profile and current service evidence.,The Independent Study Catalog 1995.pdf,English,,111,The Independent Study Catalog,SRC-EDU-ISC-1995,,Eastern Kentucky University,Institution: Eastern Kentucky University; level: College; department: Psychology; credit: 3S; division: L,42,Introductory psychology,,pg-service-college-psychology-sociology-human-services,"['human-consumer', 'human-needs', 'need-education', 'need-education-postsecondary', 'pg-service-college-psychology-sociology-human-services', 'pg-service-college-psychology-sociology-human-services-page-002', 'item-course-001072']",
