institution,level,department,course_name,course_code,credit,division
Adams State College,High School,Mathematics,Algebra skills,099-3,3S,
Adams State College,High School,Mathematics,Arithmetic,095-3,3S,
Adams State College,College,Business,Auditing,407,3S,U
Adams State College,College,Business,Business communications,265,3S,L
Adams State College,College,Business,Business computer applications,120,3S,L
Adams State College,College,Business,Business law,211,3S,L
Adams State College,College,Business,Business statistics,318,3S,U
Adams State College,College,Business,Fundamentals of income tax,355,3S,U
Adams State College,College,Governmental and institutional accounting,Personal finance,114,3S,L
Adams State College,College,Governmental and institutional accounting,Principles of management,361,3S,U
Adams State College,College,Economics,Managerial economics,433,3S,U
Adams State College,College,English,Communication arts (I),101,3S,L
Adams State College,College,English,Communication arts (II),102,3S,L
Adams State College,College,English,Development of vocabulary,280,2S,L
Adams State College,College,Environmental Science,Environmental control,431,2S,U
Adams State College,College,Environmental Science,Toxic chemicals,325,3S,U
Adams State College,College,History,History of the Southwest,305,3S,U
Adams State College,College,History,Mexico,357,3S,U
Adams State College,College,Mathematics,Differential equations,327,3S,U
Adams State College,College,Psychology,Human development,205,3S,L
Adams State College,College,Psychology,Human development: conception-childhood,204,3S,L
Adams State College,College,Psychology,Psychological testing,445,3S,U
Adams State College,College,Psychology,Success psychology,179,3S,L
Adams State College,College,Science,Contemporary topics in biology,507,2S,U
Adams State College,College,Sociology,Formation of self-concept,259,2S,L
Arizona State University,College,Art History,Art of the Western world I,AR101,3S,L
Arizona State University,College,Art History,Art of the Western world II,AR102,3S,L
Arizona State University,College,Art History,Western American art,AR494,3S,U
Arizona State University,College,Business,Business communications,BU233,3S,L
Arizona State University,College,Business,Business report writing,BU431,3S,U
Arizona State University,College,Communication,Communication and aging,C0417,3S,U
Arizona State University,College,Communication,Crisis communication,C0414,3S,U
Arizona State University,College,Elements of intercultural communication,Gender and communication,C0316,3S,U
Arizona State University,College,Elements of intercultural communication,Intercultural communication,C0463,3S,U
Arizona State University,College,Elements of intercultural communication,Medical communication,C0494,3S,U
Arizona State University,College,Elementary school organization and,Home-school relations,ED498,3S,U
Arizona State University,College,French,Elementary French,FR101,4S,L
Arizona State University,College,French,Elementary French,FR102,4S,L
Arizona State University,College,French,French literature,FR321,3S,U
Arizona State University,College,French,French literature,FR322,3S,U
Arizona State University,College,French,Intermediate grammar review,FR201,4S,L
Arizona State University,College,French,Intermediate reading,FR205,4S,L
Arizona State University,College,German,Elementary German,GE101,4S,L
Arizona State University,College,German,Elementary German,GE102,4S,L
Arizona State University,College,German,Intermediate German,GE201,4S,L
Arizona State University,College,German,Intermediate German,GE202,4S,L
Arizona State University,College,Higher Education,Successful recareering,AE494,3S,U
Arizona State University,College,History,Asian civilizations,HI306,3S,U
Arizona State University,College,History,Contemporary America,HI411,3S,U
Arizona State University,College,History,Introduction to Japan,HI 107,3S,L
Arizona State University,College,History,Japan,HI478,3S,U
Arizona State University,College,History,Japan,HI477,3S,U
Arizona State University,College,History,The United States and Japan,HI471,3S,U
Arizona State University,College,History,United States history,HI104,3S,L
Arizona State University,College,History,United States history,HI103,3S,L
Arizona State University,College,Home Economics,Family relationships,FA331,3S,U
Arizona State University,College,Italian,Elementary Italian,IT101,4S,L
Arizona State University,College,Italian,Elementary Italian,IT102,4S,L
Arizona State University,College,Italian,Intermediate Italian,IT201,4S,L
Arizona State University,College,Italian,Intermediate Italian,IT202,4S,L
Arizona State University,College,Italian,justice Studies American Indian justice,JU294,3S,U
Arizona State University,College,Community relations in the justice system,Concepts and issues of justice,JU200,3S,L
Arizona State University,College,Prevention of delinquent and criminal,behavior,JU311,3S,U
Arizona State University,College,Prevention of delinquent and criminal,Procedural criminal law,JU462,3S,U
Arizona State University,College,Prevention of delinquent and criminal,Research in justice studies,JU301,3S,U
Arizona State University,College,Prevention of delinquent and criminal,Substantive criminal law,JU461,3S,U
Arizona State University,College,Prevention of delinquent and criminal,The adjudication function,JU308,3S,U
Arizona State University,College,Prevention of delinquent and criminal,The justice system,JU100,3S,U
Arizona State University,College,Prevention of delinquent and criminal,The police function,JU306,3S,U
Arizona State University,College,Mathematics,Brief calculus,MA210,3S,L
Arizona State University,College,Mathematics,College algebra,MAI 17,3S,L
Arizona State University,College,Mathematics,Finite mathematics,MAI 19,3S,L
Arizona State University,College,Mathematics,Intermediate algebra,MA106,3S,L
Arizona State University,College,Mathematics,Precalculus,MAI 70,3S,L
Arizona State University,College,Spanish,Elementary Spanish,SP101,4S,L
Arizona State University,College,Spanish,Elementary Spanish,SP102,4S,L
Arizona State University,College,Spanish,Intermediate Spanish,SP201,4S,L
Arizona State University,College,Spanish,Intermediate Spanish,SP202,4S,L
Arizona State University,College,Introduction to speech and hearing science,Nature of fluency disorders,SH431,2S,U
Athabasca University,College,Accounting,Advanced financial accounting,451,3U,U
Athabasca University,College,Accounting,Financial accounting theory,453,3U,U
