pid,dimension_order,dimension_name,member_count,example_members
14100189,1,Overtime,2,Excluding overtime | Including overtime
14100189,2,Estimates,2,Average hourly earnings | Average weekly hours
14100189,3,"Standard Industrial Classification, 1980 (SIC)",280,"Accommodation service industries | Accommodation, food and beverage service industries | Accounting and bookkeeping services | Advertising services | Agricultural chemical industries | Agricultural implement industry | Air transport industries | Aircraft and aircraft parts industry | Aluminum rolling, casting and extruding industry | Amusement and recreational service industries | Apparel and dry goods industries, wholesale | Apparel, wholesale | Appliance, television, radio and stereo stores | Architectural, engineering and other scientific and technical services | Asphalt roofing industry | Auto and trucking rental and leasing services | Automobile dealers | Automotive parts and accessories stores | Automotive vehicles, parts and accessories industries, sales and service | Bakery products industries"
14100189,4,Seasonal adjustment,2,Seasonally adjusted | Unadjusted
14100306,1,Wages,5,"Average hourly wage rate | Average weekly wage rate | Median hourly wage rate | Median weekly wage rate | Total employees, all wages"
14100306,2,Type of work,3,Both full- and part-time employees | Full-time employees | Part-time employees
14100306,3,National Occupational Classification (NOC),51,"Administrative and financial supervisors and administrative occupations [12] | Assemblers in manufacturing [95] | Assisting occupations in support of health services [34] | Business, finance and administration occupations [1] | Care providers and educational, legal and public protection support occupations [44] | Distribution, tracking and scheduling co-ordination occupations [15] | Finance, insurance and related business administrative occupations [13] | Harvesting, landscaping and natural resources labourers [86] | Health occupations [3] | Industrial, electrical and construction trades [72] | Labourers in processing, manufacturing and utilities [96] | Maintenance and equipment operation trades [73] | Management occupations [0] | Middle management occupations in retail and wholesale trade and customer services [06] | Middle management occupations in trades, transportation, production and utilities [07-09] | Natural and applied sciences and related occupations [2] | Natural resources, agriculture and related production occupations [8] | Occupations in art, culture, recreation and sport [5] | Occupations in education, law and social, community and government services [4] | Occupations in front-line public protection services [43]"
14100306,4,Sex,3,Both sexes | Females | Males
14100306,5,Age group,4,15 to 24 years | 15 years and over | 25 to 54 years | 55 years and over
17100060,1,Marital status,6,"Marital status, divorced (not living common law) | Marital status, married (and not separated) | Marital status, separated (not living common law) | Marital status, single (not living common law) | Marital status, widowed (not living common law) | Total marital status"
