pid,language,source_zip,source_zip_name,source_zip_size_bytes,source_zip_modified_local,sha256,source_url,scan_status,scanned_at_utc,error_message
14100189,eng,raw_old\14100189-eng.zip,14100189-eng.zip,41887199,2021-11-06T13:42:24,,https://www150.statcan.gc.ca/n1/en/tbl/csv/14100189-eng.zip,found,2026-06-20T19:06:13+00:00,
14100306,eng,raw_old\14100306-eng.zip,14100306-eng.zip,421446072,2021-11-06T13:39:30,,https://www150.statcan.gc.ca/n1/en/tbl/csv/14100306-eng.zip,found,2026-06-20T19:06:13+00:00,
17100060,eng,raw_old\17100060-eng.zip,17100060-eng.zip,27295638,2021-11-06T13:42:08,,https://www150.statcan.gc.ca/n1/en/tbl/csv/17100060-eng.zip,found,2026-06-20T19:06:13+00:00,
17100061,eng,raw_old\17100061-eng.zip,17100061-eng.zip,7524,2021-11-06T13:41:18,,https://www150.statcan.gc.ca/n1/en/tbl/csv/17100061-eng.zip,found,2026-06-20T19:06:13+00:00,
17100068,eng,raw_old\17100068-eng.zip,17100068-eng.zip,1656,2021-11-06T13:41:22,,https://www150.statcan.gc.ca/n1/en/tbl/csv/17100068-eng.zip,found,2026-06-20T19:06:13+00:00,
17100069,eng,raw_old\17100069-eng.zip,17100069-eng.zip,1996,2021-11-06T13:41:26,,https://www150.statcan.gc.ca/n1/en/tbl/csv/17100069-eng.zip,found,2026-06-20T19:06:13+00:00,
18100005,eng,raw_old\18100005-eng.zip,18100005-eng.zip,1119979,2021-11-06T13:41:48,,https://www150.statcan.gc.ca/n1/en/tbl/csv/18100005-eng.zip,found,2026-06-20T19:06:13+00:00,
22100106,eng,raw_old\22100106-eng.zip,22100106-eng.zip,2649,2021-11-06T13:41:46,,https://www150.statcan.gc.ca/n1/en/tbl/csv/22100106-eng.zip,found,2026-06-20T19:06:13+00:00,
33100395,eng,raw_old\33100395-eng.zip,33100395-eng.zip,1989865,2021-11-06T13:41:46,,https://www150.statcan.gc.ca/n1/en/tbl/csv/33100395-eng.zip,found,2026-06-20T19:06:13+00:00,
33100396,eng,raw_old\33100396-eng.zip,33100396-eng.zip,356185,2021-11-06T13:41:30,,https://www150.statcan.gc.ca/n1/en/tbl/csv/33100396-eng.zip,found,2026-06-20T19:06:13+00:00,
33100397,eng,raw_old\33100397-eng.zip,33100397-eng.zip,6747655,2021-11-06T13:41:52,,https://www150.statcan.gc.ca/n1/en/tbl/csv/33100397-eng.zip,found,2026-06-20T19:06:13+00:00,
37100182,eng,raw_old\37100182-eng.zip,37100182-eng.zip,23410549,2021-11-06T13:41:50,,https://www150.statcan.gc.ca/n1/en/tbl/csv/37100182-eng.zip,found,2026-06-20T19:06:13+00:00,
37100183,eng,raw_old\37100183-eng.zip,37100183-eng.zip,8330821,2021-11-06T13:41:10,,https://www150.statcan.gc.ca/n1/en/tbl/csv/37100183-eng.zip,found,2026-06-20T19:06:13+00:00,
37100184,eng,raw_old\37100184-eng.zip,37100184-eng.zip,179389038,2021-11-06T13:44:44,,https://www150.statcan.gc.ca/n1/en/tbl/csv/37100184-eng.zip,found,2026-06-20T19:06:13+00:00,
37100185,eng,raw_old\37100185-eng.zip,37100185-eng.zip,99473673,2021-11-06T13:43:10,,https://www150.statcan.gc.ca/n1/en/tbl/csv/37100185-eng.zip,found,2026-06-20T19:06:13+00:00,
37100188,eng,raw_old\37100188-eng.zip,37100188-eng.zip,1254841,2021-11-06T13:41:10,,https://www150.statcan.gc.ca/n1/en/tbl/csv/37100188-eng.zip,found,2026-06-20T19:06:13+00:00,
37100189,eng,raw_old\37100189-eng.zip,37100189-eng.zip,1254907,2021-11-06T13:41:06,,https://www150.statcan.gc.ca/n1/en/tbl/csv/37100189-eng.zip,found,2026-06-20T19:06:13+00:00,
